t,SHP1Act_Obs,STAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs
0,0.00136506142007759,49.2788314713078,0,0.903145179726701,0
15,NaN,NaN,NaN,14.83699662383,NaN
20,NaN,NaN,108.975822340897,NaN,NaN
25,NaN,15.8424835854038,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,0.00160156355766473
35,NaN,NaN,NaN,309.219630256759,NaN
40,NaN,NaN,471.49043048629,NaN,NaN
45,0.227377861798688,24.2708867940799,NaN,NaN,NaN
55,NaN,NaN,NaN,551.563396587784,NaN
60,NaN,NaN,NaN,NaN,0.000580542583867537
65,NaN,NaN,619.014888256758,NaN,NaN
70,NaN,31.1081381861618,NaN,NaN,NaN
75,NaN,NaN,NaN,539.832084795679,NaN
90,NaN,NaN,302.093172022326,NaN,NaN
95,0.249471879043654,NaN,NaN,NaN,0.000288877166110404
100,NaN,31.2384135425547,236.732264796199,258.312068717562,NaN
150,0.273672012311357,43.8024284310334,121.254213994785,145.474648395373,0.000188382964388646
200,0.320346160124176,35.5753272398787,118.001193687533,140.456656432184,0.000195390673041901
250,0.368930233659178,47.0748474544599,110.711652677329,91.0948769025765,0.000160721165016883
300,0.303528946440018,43.0880083356358,97.8579649645923,NaN,0.000186210908246113
350,NaN,39.4142018499609,NaN,NaN,0.00019054684923065
400,0.322756692320419,NaN,NaN,NaN,NaN
450,NaN,39.7144721801437,NaN,NaN,NaN
500,0.3644476249722,NaN,NaN,NaN,NaN
600,0.340147997797762,NaN,NaN,NaN,NaN
700,0.373528427537971,NaN,NaN,NaN,NaN
850,0.366822847990506,NaN,NaN,NaN,NaN
