t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs
0,2.49814455543771,0.000629045834368758,89.5200136454968,8.41728173279811,-0.553597088550943
15,1.57513564016997,NaN,NaN,84.8319884484839,18.9722633319249
20,NaN,NaN,-4.30891070838398,NaN,NaN
25,NaN,0.144273510185942,NaN,NaN,NaN
30,NaN,NaN,NaN,54.2121908751872,14.6228490346561
35,1.47718201675026,NaN,NaN,NaN,NaN
40,NaN,NaN,9.72515710068766,NaN,NaN
45,NaN,NaN,NaN,52.9416220175289,14.983794832855
50,2.00369285691029,0.133055239142044,NaN,NaN,NaN
60,NaN,NaN,24.2225318305013,41.5632593202404,12.5549969496136
70,1.19716965522821,NaN,NaN,NaN,NaN
75,NaN,0.193763338404448,NaN,31.7875610919829,NaN
80,NaN,NaN,NaN,NaN,13.131291670715
85,NaN,NaN,34.323450980534,NaN,NaN
95,2.21370943018894,NaN,NaN,39.0319139953997,NaN
100,1.66842986521967,0.25363975657188,43.3485027716062,38.8469795044131,11.0557832085765
150,1.96067846015638,0.211097400584176,35.9633374337222,16.5292630673911,7.90928717213341
200,1.78089552096057,0.224420994556175,55.6920550748801,19.0558677891554,7.15748546305198
250,2.10057360811936,0.207536511799086,68.2733012892786,31.1531256855307,4.65244533339562
300,NaN,0.230147654329595,61.8078163960724,23.709611186146,5.46874573158895
350,NaN,0.233779814493444,NaN,NaN,NaN
400,NaN,NaN,73.2166750022852,NaN,NaN
450,NaN,0.260487996637594,NaN,NaN,NaN
