t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,p1EpoRpJAK2_Obs,EpoRpJAK2_Obs,Compound_1_Obs
0,6.0771571387851,-0.00433471019617138,-0.00266917555469713,24.9208134595988,-0.0210868359850784,133.505069936877,3.76454873414836,0.183173596568661,0.000317900377276566,-0.00122088488353522,-0.028777260274726
10,NaN,0.441114136949586,0.442928071123904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,4.59969516650787,NaN,NaN,NaN,NaN,5.84565650385659,105.096550971222,14.8405295271069,0.0604728775570045,0.348655583183036,0.367483910794796
20,NaN,NaN,0.106282518370903,NaN,0.0840881873177795,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.196896110557307,NaN,23.0109881104613,NaN,19.9536615315502,NaN,NaN,NaN,NaN,0.345969378228574
30,4.42655989896761,NaN,0.0568251046918373,NaN,NaN,NaN,95.1550811810095,34.7177449404935,0.0395803279267375,0.288839359499313,NaN
40,NaN,0.138551688777413,NaN,NaN,NaN,17.1727825360635,NaN,NaN,0.0342032059745113,0.325545919891195,0.292498040693061
45,5.10715410167947,NaN,0.0328319307316641,25.5532265391592,0.158514893901611,NaN,82.7971300446099,37.6196538433599,NaN,NaN,NaN
55,NaN,0.114013974112424,NaN,NaN,NaN,24.896328956691,NaN,NaN,NaN,NaN,0.28267675613402
60,5.59379206455114,NaN,0.0234929815165654,NaN,NaN,NaN,68.9033608627088,38.9647932250465,0.0275032421268288,0.265030408903541,NaN
65,NaN,NaN,NaN,NaN,0.177937406593751,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.10449941961524,NaN,23.7755018927597,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,0.0335488574540574,NaN,NaN,39.2009426889188,59.3164562607738,NaN,0.026366034992469,0.283188266586272,0.237824435611573
80,5.4377146470461,NaN,NaN,NaN,NaN,NaN,NaN,37.5240918718814,NaN,NaN,NaN
85,NaN,0.0907847500959827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.191269669129052,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,43.5166665139098,53.8272204501866,NaN,0.0230862270707583,0.241449388870868,0.243692141291218
100,5.74963990631029,0.0789682958156364,0.00460155965281068,25.4675488332712,0.225205312082341,48.6828087688659,64.6195428001738,31.8650320175832,0.0221694058987967,0.240848263620652,0.252307251140839
150,5.253985418716,0.070036711261206,NaN,22.8991988353757,0.245152023195102,64.4134928077727,44.1638613877773,29.4536293349048,0.0160485461599598,0.197357502428406,0.251520079163747
200,5.68017293209595,0.0722472861987061,NaN,23.3599677068488,0.239074476846412,64.431855079293,37.2859009865091,26.5669571812026,0.0183328422853341,0.213309807536028,0.226661406306472
250,5.67296126505897,NaN,NaN,25.7579655148507,0.253864916115976,71.0854817504855,43.450696631577,24.7646861683331,NaN,0.25815269945398,0.218338315110452
300,NaN,NaN,NaN,26.9684897973841,0.248069515045207,NaN,42.1717647832411,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,25.554716699294,0.266143202077989,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,25.6530265910957,0.27804900294842,NaN,NaN,NaN,NaN,NaN,NaN
