t,CISnRNA1_Obs,CISnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-80.0402683263165,-356.088270365042,3.58781223113759e-05,-6.13521850383719e-06,-384.199303118928,5.63159447399011,-257.044153154043,-443.094058334469
15,1388.77874054766,257.374401119387,NaN,NaN,NaN,83.7556678846983,NaN,-87.8979613333385
20,NaN,NaN,NaN,NaN,1022.86193471635,NaN,3694.71767760671,NaN
30,NaN,24.0767169893373,0.00153511129708844,NaN,NaN,NaN,NaN,2607.73895593938
35,3494.78566791151,NaN,NaN,0.00144497865719793,1632.91452173362,91.9581051274016,7769.31746092288,NaN
45,NaN,1056.27199844176,NaN,NaN,NaN,NaN,NaN,3845.73625385872
50,NaN,NaN,NaN,NaN,NaN,45.260754650568,NaN,NaN
55,2243.77480019432,NaN,0.00108018559914528,NaN,2165.55561077779,NaN,4580.59449401278,NaN
65,NaN,2421.72002826564,NaN,NaN,NaN,NaN,NaN,4655.49561060473
70,NaN,NaN,NaN,0.00045597965156818,NaN,21.5603372599999,NaN,NaN
75,2714.48600284438,NaN,NaN,NaN,NaN,NaN,3164.82003822131,NaN
80,NaN,2008.01881548385,NaN,NaN,2164.43376372936,NaN,NaN,NaN
85,NaN,NaN,0.000229236434364147,NaN,NaN,NaN,NaN,4966.27841059371
95,NaN,NaN,NaN,NaN,NaN,29.0692007107393,NaN,NaN
100,1478.62139450982,2500.91723053213,0.000322989542116058,0.000580803101228459,1202.68251430668,45.0565276210233,4549.98041972741,3094.61891618318
150,1275.27148204762,708.45407397371,0.000653712845491116,0.000401375399693477,1515.38422818487,63.1986208961084,2048.20574454029,2353.45341584359
200,604.932808266743,1140.47514337378,0.000421729501399721,0.00057953536532639,1296.06777043977,80.8855948664402,2003.07713986673,1312.36893352249
250,817.312099125148,662.943797891385,0.000286733119513324,4.84219191387283e-05,1151.19077351297,59.4766768441417,2908.33811723047,1013.25176922163
300,NaN,NaN,0.000329930987193071,NaN,NaN,NaN,2420.03892599748,NaN
350,NaN,NaN,0.00040252952487947,0.000127288902019545,NaN,NaN,3867.92998595252,NaN
400,NaN,NaN,NaN,0.000540899355779247,NaN,NaN,NaN,NaN
