t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,p1EpoRpJAK2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,-0.00249543667696293,0.00141301581389695,0.00282789433598339,0.00761646556482084,1.00886098754758,1.62959018994892e-05,-0.000678050777318868,-12.7689913098619,63.9811546798729,115.006759100717,-31.3749849725866,1.22940828156914,27.9973843980878,25.4722403347249,7.80885716597193,-20.3747450868199,196.558553102773,84.2495070231049
10,0.138400862266241,0.260910538456852,NaN,NaN,NaN,NaN,NaN,NaN,44.0225900249001,NaN,NaN,NaN,NaN,-34.8467348671113,NaN,NaN,NaN,NaN
15,NaN,NaN,0.154172946970515,NaN,-1.19708856949116,NaN,0.0157716174720582,380.121198994432,NaN,NaN,334.911153348021,0.0118024704907023,367.281134969383,NaN,157.132129409741,233.050955759226,545.739656530786,210.772721116356
25,0.0655433559128443,0.0640829887066784,NaN,0.0158866178083776,NaN,NaN,0.012381856098778,NaN,296.211978510747,NaN,NaN,NaN,1155.05722689504,247.937462468595,NaN,NaN,NaN,NaN
30,NaN,NaN,0.209125041083764,NaN,-0.0416811805637121,NaN,NaN,774.201611382487,NaN,581.459854368133,NaN,0.0499566901795276,NaN,NaN,574.528231347727,NaN,1299.03918849319,NaN
35,0.0495915821919875,0.0552898741011506,NaN,NaN,NaN,0.000632442519330933,NaN,NaN,NaN,NaN,860.763911469878,NaN,NaN,NaN,NaN,843.028921717993,NaN,1230.17681437439
40,NaN,NaN,NaN,NaN,NaN,NaN,0.0120322065872081,NaN,711.123396303473,NaN,NaN,NaN,1434.85611935383,570.570721084476,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,6.20637392243212,NaN,NaN,NaN,NaN,NaN,NaN,5.76310229815705,NaN,NaN,835.209115441776,NaN,1730.63741797004,NaN
50,0.0438663366207393,0.0319638658565551,0.188758698950461,0.0652496391452505,NaN,NaN,NaN,817.377066173358,NaN,NaN,898.748534770759,NaN,NaN,NaN,NaN,781.909229541541,NaN,1752.69257182848
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,758.406961526602,NaN,NaN,NaN,1610.82700497991,706.284633511732,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.00966443262626303,NaN,NaN,808.49331731612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,0.0366191918819199,0.0141337675284047,0.249576919611726,NaN,15.1455178494114,0.000495157253455215,NaN,NaN,NaN,NaN,NaN,14.4762455290597,NaN,NaN,767.083149361711,NaN,1558.69375843566,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,724.935863454776,828.722807412216,NaN,647.872881209558,NaN,1529.4778514352,859.375921423328,NaN,798.662105072764,NaN,1449.32326312598
75,NaN,NaN,NaN,NaN,NaN,NaN,0.00948713301779116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,0.0366617076769753,0.0158908509090954,NaN,0.0632470434361445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1511.08314475677,NaN
85,NaN,NaN,0.205589975210274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4612510019529,1439.2007649368,NaN,743.295509120098,630.654342620534,NaN,NaN
90,NaN,NaN,NaN,NaN,22.002584161489,NaN,NaN,581.035089427326,726.433910841998,NaN,700.859092867482,NaN,NaN,748.565518914931,NaN,NaN,NaN,1295.36251322282
95,NaN,NaN,NaN,NaN,NaN,NaN,0.00885380799728533,NaN,NaN,645.869751517996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0383392108421245,0.0242209270936036,0.255509787834533,0.0472161731826223,20.9942270148909,0.000417270860332106,0.00971060597779585,649.748593879934,634.258295774405,NaN,552.706962946046,21.9904317965914,1292.7532680909,701.629999123101,690.664728021736,638.182190419816,1459.97813626568,1212.26885044836
150,0.0360583579739579,0.0303144770898532,0.261524698224886,0.0405402113438816,22.3170444402302,0.000353018486680667,0.00767679532450138,507.89188913437,576.562404737159,529.537343141455,504.249342434135,24.3317809338489,985.892637359735,627.567870411529,506.920047109194,506.454428150774,1063.72964602992,837.82595940929
200,0.0313395148761126,0.0113733904229394,0.221984452754043,0.0374616754380225,NaN,0.000279641490635664,0.00942520802952166,509.502059569996,NaN,438.185298438986,428.429721490635,NaN,1034.71205159135,NaN,467.73234501913,385.066531422964,993.534360557358,945.115292310837
250,NaN,NaN,0.28278899581532,0.03435790220187,NaN,0.000328669319165652,NaN,506.717216738886,NaN,534.842093736149,494.552448636454,NaN,860.054491082871,NaN,630.447189472123,473.060593818049,874.247981251991,1036.83252855002
300,NaN,NaN,NaN,0.0411352483896308,NaN,0.00038157547665506,NaN,426.294007554134,NaN,377.782754082412,553.513166956934,NaN,930.693144559523,NaN,589.237102630877,NaN,1114.50826336663,870.979681534639
350,NaN,NaN,NaN,0.0389332059743266,NaN,NaN,NaN,424.241201063389,NaN,NaN,549.757882113029,NaN,NaN,NaN,513.337389688974,433.71321281324,928.045810988408,1003.82937563195
400,NaN,NaN,NaN,NaN,NaN,0.000293172949397946,NaN,NaN,NaN,456.725021427188,422.381082123711,NaN,NaN,NaN,NaN,413.126454000085,871.98533245816,NaN
450,NaN,NaN,NaN,0.0432078027073323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,0.000351612969316326,NaN,NaN,NaN,512.429884227072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,404.903784925728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,484.143870232461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
