t,p12EpoRpJAK2_Obs,pSTAT5_Obs,Compound_4_Obs
0,-0.00658937988611915,0.860573159628258,0.0112616572382127
9.5,0.372295377184101,NaN,NaN
20,0.0941512735539344,58.7625015282858,0.356203575350171
30,0.0573004482334849,NaN,NaN
40,0.0387233239938675,51.8264459914048,0.496147562715554
55,0.0333490880849114,NaN,NaN
60,NaN,43.4950886780543,NaN
65,NaN,NaN,0.589872499787048
70,0.0269458438389244,NaN,NaN
80,NaN,38.9207421784894,NaN
85,NaN,NaN,0.681835025217071
90,0.0275569600461949,NaN,NaN
100,0.0185132099456971,37.2564268715967,0.601234295073326
150,0.0255678913677983,31.1322301424375,0.677679844647702
200,NaN,27.7615316731303,0.706508829612415
250,NaN,27.1914451345713,0.661312424624252
300,NaN,30.0977851193666,0.758404314692453
350,NaN,26.8894092468037,NaN
400,NaN,NaN,0.673239655281414
