t,SHP1Act_Obs,CISnRNA1_Obs,CISnRNA2_Obs
0,-0.0206515781472801,34.2537639780852,57.9441028043645
7,NaN,50.7662247084323,NaN
9,NaN,NaN,-21.917166501854
15,0.0949150085604951,176.982300690913,NaN
20,NaN,365.942827524793,143.84535714534
25,0.111707180051675,NaN,NaN
30,NaN,521.28226487276,334.221359196686
40,0.165679400740859,660.260477956692,568.451605185837
50,NaN,638.141451460462,653.621988427572
60,0.157803460275373,634.493498548492,NaN
65,NaN,NaN,639.750304448842
70,NaN,614.19007978721,NaN
75,0.171756944376227,NaN,NaN
80,NaN,NaN,616.200919868205
85,NaN,578.895758598991,NaN
100,0.173532690246652,533.881811127038,548.7176677586
150,0.170921808420653,433.821987710482,388.428622474729
200,0.162889584427486,NaN,370.649281534931
250,0.173514249617145,NaN,NaN
300,0.14872178341748,NaN,NaN
