t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA3_Obs,pSTAT5_Obs
0,7.93614199920816,-0.02297539205052,0.00163265673389681,-0.00715020978827103,0.0420369599599063,25.3590361189203,0.00127809953181826,64.7070216031816,-0.571548577860931,0.0813720871412255,-0.0491934725495436,-0.0542454103374264,-0.834495606517067
10,5.09708482027131,NaN,0.152772571522593,0.857474585576947,0.99346991027954,23.5640762390119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,0.76270579211717,NaN,NaN,NaN,NaN,NaN,-1.08653520009991,24.9539481944913,0.0270168165253649,-0.0565629790017743,0.0495425250759243,45.3358854321165
20,NaN,NaN,NaN,0.529795261008719,0.284752771560832,26.0576163198087,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,5.97714077697472,NaN,0.100847024906962,NaN,NaN,NaN,0.0848617083674785,NaN,NaN,NaN,-0.0517524885503618,-0.00798577218244454,35.1768862822839
30,NaN,0.643046811199236,NaN,NaN,0.162367588187086,NaN,NaN,NaN,27.0050638850117,-0.0854627312836843,NaN,NaN,NaN
35,NaN,NaN,NaN,0.361868306255359,NaN,24.3110258447999,NaN,18.2467322557964,NaN,NaN,NaN,NaN,NaN
40,6.95793747857271,NaN,0.08729983804799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0208999375332868,0.046184978193037,26.127860840627
45,NaN,0.659400204587951,NaN,0.296435240546231,0.103380741367759,NaN,NaN,NaN,23.0109762566592,-0.0306395785423895,NaN,NaN,NaN
50,NaN,NaN,0.0757575221028851,NaN,NaN,24.1647435901652,0.125505059442772,23.1604557282648,NaN,NaN,NaN,NaN,NaN
55,6.3689749044463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0161940249109763,NaN,23.1692588061202
60,NaN,NaN,NaN,0.288731555587295,0.0896598857812834,NaN,NaN,NaN,20.7837086353443,0.0689006633596261,NaN,0.0458131997734909,NaN
65,NaN,0.630144309375067,NaN,NaN,NaN,24.0349956524292,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,7.13922347504036,NaN,0.070135553240039,NaN,NaN,NaN,NaN,28.0071995063339,NaN,NaN,NaN,NaN,21.0359368663856
75,NaN,NaN,NaN,0.241976685726004,0.087193133881356,NaN,NaN,NaN,NaN,0.00621788398849841,-0.0633100101828586,0.0548061802779005,NaN
80,NaN,NaN,NaN,NaN,NaN,24.1504580047782,0.148951656335642,NaN,18.5713217251573,NaN,NaN,NaN,NaN
85,7.2705758845559,0.524018125538972,0.0616063906843708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5668870386535
90,NaN,NaN,NaN,0.236058891780846,NaN,NaN,NaN,31.8886515053274,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0423066569864127,NaN,NaN,NaN,NaN,0.014880966300444,0.0820214804628677,-0.0324101168661562,NaN
100,6.44485657549634,0.588546482547291,0.0611338792653058,0.235530306507125,0.0752205471525099,26.1725539228201,0.153922376629463,34.08381404142,15.0158847923639,0.0630834146972917,0.0206400489759833,-0.044844128352977,18.5480710402919
150,6.78114877755272,0.581025620124313,0.0569871389198104,0.195640956077973,NaN,22.2339538566603,0.163493420950828,38.8899758229033,14.6223739656243,-0.0407609410320183,-0.0163490654929728,-0.0607766935625054,16.617367238588
200,7.01575718199986,0.525836955829749,0.0525404756236128,0.180719290147392,NaN,23.3910148332599,0.160800206048024,36.9786068338322,13.1171641270355,-0.0393048193582228,0.0627778916172464,0.0207119688842056,16.3339370731392
250,6.87028621391104,0.517281083966908,NaN,NaN,NaN,NaN,0.171941101317123,37.5962847577601,13.6698006085125,0.0589338756187369,-0.0241084113061338,-0.0765129851920806,13.7623779813824
300,NaN,NaN,NaN,NaN,NaN,NaN,0.171473784951,39.7614220999389,12.1596650707948,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,0.162874405636166,38.1377368153504,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,0.157186151194696,NaN,NaN,NaN,NaN,NaN,NaN
