t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00177288884436601,-0.000839981969913067,22.6848685734353,-0.00628657616273313,60.069027983462,-0.753157437252828,-24.900622737422,32.0382317148597,-8.42186291348606e-06,-0.0016098893796901,-0.0293119575781458
5,NaN,NaN,22.606152346623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,1.37774783062964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7655455048768,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,2.26029109075167,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,24.9658971219986,NaN,NaN,NaN,27.0859373857782,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,46.4790636073129,NaN,NaN,NaN,0.000341947854857301,NaN,0.38059568078005
15,0.588557635250271,-0.00146531697401735,24.0299297181836,0.0649513981905867,NaN,6.25054741368598,NaN,44.9884290507512,NaN,-0.000733211055579259,NaN
20,0.356301242744485,NaN,23.5518468660393,NaN,39.2593678754059,NaN,256.273918706763,NaN,NaN,NaN,NaN
25,NaN,NaN,20.5537281849415,NaN,NaN,9.40851002166453,NaN,167.418943313369,0.00186292482332564,NaN,0.282302861095119
30,0.244186689858968,NaN,21.735105115395,0.105145736488729,NaN,NaN,478.143254166538,NaN,NaN,0.00515016037308094,NaN
35,NaN,0.0317467351397882,NaN,NaN,41.5021523933498,10.7367242731639,NaN,406.418941928722,0.00216200301888236,NaN,2.03364916009419
40,0.126373830795973,NaN,22.610078472321,NaN,NaN,NaN,631.189805878153,NaN,NaN,NaN,NaN
45,NaN,NaN,23.2117880131804,NaN,39.8574630804178,10.4058141510468,NaN,554.592609197555,NaN,0.018510492589693,NaN
50,0.100433851168542,0.0752483551812268,NaN,0.115512364771458,NaN,NaN,NaN,NaN,0.00214418797350511,NaN,5.00559060196797
55,NaN,NaN,22.4341365069196,NaN,NaN,9.43811164658329,648.966515879782,656.047940503235,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,45.1146172398411,NaN,NaN,NaN,NaN,0.0259053076508906,NaN
65,0.0489304462372814,NaN,24.2295461839829,NaN,NaN,8.36663530687165,627.263395978934,NaN,0.00189626646175504,NaN,7.32735623109444
70,NaN,0.0936234825182509,NaN,0.129058383489546,NaN,NaN,NaN,637.248437403376,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,45.4638255271283,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,21.3512372923932,NaN,NaN,6.5905459197467,NaN,NaN,0.00151704136848627,0.0375300230979436,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,456.198214019515,509.175127773707,NaN,NaN,9.77376416685966
90,NaN,0.110925716471191,NaN,0.126761004330906,55.0117140600995,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,23.967732026995,NaN,NaN,5.8502484264012,NaN,NaN,NaN,NaN,NaN
100,NaN,0.112731403515984,NaN,0.129089667444436,52.5099675106595,5.13121591859975,368.972049635359,459.045161964205,0.00114489452588074,0.0427294742101048,10.1104159024745
150,NaN,0.119950421591506,NaN,0.134268275888484,53.8814643469014,4.22253714848845,263.050511469249,306.613057063504,0.000955771122196928,0.0450906209142708,10.9069527730055
200,NaN,0.127524343536398,NaN,0.123391588228115,57.827934234698,NaN,275.516663594913,NaN,0.000836656850049479,0.045223411212326,11.2642736649181
250,NaN,NaN,NaN,0.13393910918815,52.7300150327288,NaN,NaN,NaN,NaN,0.0453455176759624,10.7457880610685
300,NaN,0.12305613035584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0441478906711623,10.7432260310406
