t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,5.61165945725859,0.0764002152649504,0.00394809887898185,0.125128254861858,0.139962811932964,-0.0216636389499112,129.348327020997,-4.86923070278369,-521.720503950991,-760.568100288469,-339.414905684354,314.00354346286,0.00836853075122332,2.38381045643973,0.00108420103883282,-0.000598904078595807,-0.0009975838083131,-0.00330439926227662
10,7.11554072328541,NaN,NaN,NaN,NaN,NaN,-23.2613123488787,NaN,527.334988096187,3.56432521381015,830.448058775832,-152.880951758093,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,0.052920954909718,0.41484243485724,0.825997313601903,NaN,NaN,59.5139971126355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.161098459522141,NaN,NaN,NaN,0.0766468368249007,NaN,NaN,NaN,NaN,NaN,NaN,0.0515621034942066,NaN,0.00866455024259108,NaN,0.00788451570188498,0.00500234614330147
25,2.92460867859248,NaN,NaN,0.269068725733563,NaN,NaN,9.82487458344039,NaN,3192.26298651294,1755.49851881272,1286.91822927546,-355.595006328908,NaN,NaN,NaN,0.00702272450196485,NaN,NaN
30,NaN,NaN,NaN,NaN,0.207003553167593,NaN,NaN,36.6781440638857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.0353222640557817,NaN,NaN,0.119461965781053,43.1256892299378,NaN,3604.70695563107,3273.64689726813,2730.25999681488,747.289125978256,NaN,5.51840354084726,NaN,NaN,NaN,NaN
40,5.62048059713219,0.227156349531591,NaN,0.301567128364212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0713616720010981,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.4975033784556,NaN,NaN,NaN,NaN,NaN,NaN,0.00650452708497085,0.00683059205726687,0.0097182338389201,0.00937579342119087
50,NaN,NaN,0.0193142119324991,NaN,-0.00652759344471067,NaN,67.4662402359312,NaN,3154.85228343186,3375.11461710205,3185.18084080962,2101.01313053644,NaN,NaN,NaN,NaN,NaN,NaN
55,8.48112411655259,NaN,NaN,0.0409936632817141,NaN,0.101610529511655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,0.183633768202748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.241177431625202,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.149217459490199,NaN,NaN,6.33682185517586,3423.58392908539,2315.31068009533,3783.11787867897,3185.34689912613,NaN,NaN,NaN,NaN,0.00547318633507904,NaN
70,3.48465064397467,NaN,0.0260079077023597,0.109626303326346,NaN,NaN,100.943823000884,NaN,NaN,NaN,NaN,NaN,NaN,74.7321726954695,0.00681625930817279,NaN,NaN,0.00442092337035188
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0050253460329901,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.147629275428557,NaN,NaN,1669.11908695799,3188.20784344235,3180.61903118664,3272.93479715179,NaN,NaN,NaN,NaN,NaN,NaN
85,7.58257578947707,0.167909783072989,NaN,NaN,NaN,NaN,80.8525111395876,NaN,NaN,NaN,NaN,NaN,0.216882722284831,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.144641315434826,0.0590628003827149,NaN,NaN,10.209026149696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,0.0188340743621838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00351906260552902,NaN,0.00402691037391507,0.00283900928967572
100,9.17518648958576,0.176242874906144,0.0278434985151151,0.0982596185310006,0.0522991748649349,0.205942778011335,114.386188962807,10.0687514677225,580.782310486874,1777.3590461335,2052.64881287971,2828.41584325729,0.201046019826238,116.440973261424,0.00275015664358091,0.00387037735116924,0.00207221089670082,NaN
150,3.28846121173326,0.24826748527454,0.027138216172605,0.0957994312765379,0.160153984202649,0.165737025062525,75.162793970916,-5.86330129284831,2384.87195245266,1793.86796605399,1847.9227745501,1182.98498090175,0.0520003965200332,80.6323312575196,8.82557441095467e-05,-0.000443360621423689,0.00185858362465585,0.000764235068236157
200,11.4557579440081,0.157841180410556,0.0209106330121477,0.299946982125282,NaN,NaN,NaN,NaN,-465.656136930856,1300.78790374252,NaN,1003.76620018683,0.0323531655238221,43.894120163432,0.00188135675533146,0.00167180141558205,0.00122407764863105,0.000905824610770076
250,NaN,NaN,0.0255211769723176,0.149243347032838,NaN,NaN,NaN,NaN,NaN,900.845356441889,NaN,NaN,0.0761311866556104,68.614462330757,0.00305089678022726,0.00261525859101634,0.00442937895870744,0.00222926927991676
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0887275710238279,83.6844768268337,0.00217015404085806,NaN,0.00327199935267588,0.00428759122395869
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.1426236713745,0.00138106687701412,0.000597175159672693,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.104145892888373,43.4766649912098,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.4660993083236,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.4255209372919,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0331419902336,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.2670177074132,NaN,NaN,NaN,NaN
