t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,-0.0329515316598305,-0.0388463832843527,0.0171609584684217,-0.0362987102137975,70.4526674641282,74.4032334862194,84.7946603285061,34.2880944969111,-0.0368407731407959,-6.4722502239507e-06,-0.000180345591511046,4.31829381907924e-05
8.5,NaN,0.240483955029068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,0.0422204812416601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.306427553206765,NaN,NaN,NaN,NaN,NaN,28.3689402824961,NaN,-1.78192966725647,NaN,NaN,NaN
15,NaN,0.218939503014082,NaN,0.00724442177014903,57.2895929429068,53.4059210965854,NaN,-38.8942182525943,NaN,-0.000105922673665071,NaN,7.23185855642259e-06
20,0.302931803316309,NaN,0.126848982638513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000180357670590009,NaN
25,NaN,0.131464697992418,NaN,NaN,87.4631186618972,-6.0960572398464,-86.9785781740843,38.4400039855968,-0.0401886622702689,NaN,NaN,NaN
30,NaN,NaN,0.096184321930659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.275048193080856,0.0970406355818792,NaN,0.0670152751456205,NaN,NaN,25.7391880881632,NaN,-0.342705406505001,0.000302697392928747,NaN,0.000214827459594775
40,NaN,NaN,0.0653987121950473,NaN,108.140502064046,156.599878230091,NaN,130.424404816743,NaN,NaN,0.000320821520129338,NaN
45,0.166276247630451,0.147006104179883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,0.071546284794448,NaN,NaN,69.2034163807346,NaN,1.46035682421964,NaN,NaN,NaN
55,NaN,NaN,0.0262926362994302,NaN,56.7433382007434,NaN,NaN,71.9718610939803,NaN,0.000327717390716947,NaN,0.000243858627161759
60,0.174120809785211,0.0896313127707281,NaN,NaN,NaN,118.175196414899,NaN,NaN,NaN,NaN,0.000421870183408318,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,94.9535407803209,NaN,1.37493676481737,NaN,NaN,NaN
70,NaN,NaN,0.0158958412780354,0.115613119850946,NaN,NaN,NaN,161.946636749948,NaN,NaN,NaN,NaN
75,0.200539918733109,-0.0041604236791284,NaN,NaN,75.6805690693357,213.489842870234,NaN,NaN,NaN,0.000490507864888825,NaN,0.000417032600173585
80,NaN,NaN,NaN,NaN,NaN,NaN,213.26515243637,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.88234863139346,NaN,0.000224409547309682,NaN
90,NaN,0.132948404918414,0.00248436537409306,0.063803579561047,59.4447959869105,NaN,NaN,114.971301392838,NaN,NaN,NaN,NaN
95,0.157153260813464,NaN,NaN,NaN,NaN,157.675085556053,NaN,NaN,NaN,NaN,NaN,NaN
100,0.161013710643751,-0.00886215647644444,0.0212849178899225,0.0277225431870985,131.999198276463,113.305780817087,132.006441715602,144.542287862625,3.80392465578935,0.000349529122291394,0.000457878894967432,0.000341266121750805
150,0.0179137257591223,0.0792181122856826,NaN,0.087295361177499,108.717756971324,73.8904742240291,165.56821719056,151.023940614008,5.78842360422181,0.000320453650845393,0.000230910781641365,0.000256892914713807
200,0.160102128385408,NaN,NaN,0.0572724395621739,94.8525026099641,141.39145494728,96.4479968580592,240.295939671588,7.59467845224043,0.000348604006773949,0.000488109282608106,2.27809098529817e-05
250,NaN,NaN,NaN,0.0516987430200889,190.835798770793,152.320802590947,136.456356172632,240.262594606762,6.90626421754983,0.000296744326728232,0.000296209730790587,0.000183815155005081
300,NaN,NaN,NaN,NaN,112.040847696846,155.813386547387,107.274159375441,144.084836197941,6.98152735766305,0.000297371875665566,0.000237349359281285,0.000192062941130516
