t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,npSTAT5_Obs,CISnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3RNA_Obs
0,0.000151586575594839,0,8.90075308817569e-05,24.863303433016,0.0920297071202766,0,0,0.000154733848924621
10,NaN,NaN,NaN,25.2836961587847,NaN,NaN,NaN,NaN
15,NaN,NaN,0.484892179810772,NaN,NaN,7.32493515806069,NaN,NaN
20,0.150471834942339,0.0212414547339567,NaN,30.6522838137159,40.900420225564,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0125476517084127
30,NaN,NaN,NaN,NaN,NaN,NaN,0.00302491113672475,NaN
35,NaN,0.0149014801800363,0.0877154432243448,27.1510708771326,NaN,522.493134427577,NaN,NaN
40,0.130916994866244,NaN,NaN,NaN,19.5787034662439,NaN,NaN,NaN
45,NaN,NaN,NaN,28.1541432979285,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,2437.16217912558,NaN,0.0422667440387978
55,NaN,0.0141924830160315,0.0511561031908571,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,24.9671512311022,NaN,NaN,0.0032465742845557,NaN
65,0.143753788252025,NaN,NaN,NaN,25.3423738710106,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,3556.63172816385,NaN,NaN
75,NaN,0.0178103771405239,0.048968097315651,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,19.874274901396,NaN,NaN,NaN,0.0446678965750094
85,0.139412811007009,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,24.1068772822614,NaN,0.00133548762053364,NaN
95,NaN,NaN,NaN,NaN,NaN,4028.79469132148,NaN,NaN
100,0.116701811201147,0.018249069331788,0.0253535819308956,23.0626335670733,18.4402075738707,3577.54659186458,NaN,0.074087907223042
150,0.142767910491529,0.0201452750188999,0.019361990448601,NaN,16.8738912529608,1956.03322142316,0.000831347013728835,0.114566914882579
200,0.101450745271539,0.0245142792416917,NaN,NaN,7.0230303242658,803.466964192029,0.0010138499668655,0.0856807347571022
250,0.06221570936112,0.0132838876872207,NaN,NaN,10.809244539614,1322.10689438741,0.00137368460166541,0.0918087116041387
300,0.048157142210639,0.0137551686050383,NaN,NaN,11.3032447496234,NaN,NaN,0.0818848707958795
350,NaN,NaN,NaN,NaN,9.88844375075132,NaN,0.000670785129393054,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,0.000965006677244669,NaN
