t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,EpoRJAK2_CIS_Obs,SHP1Act_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,4.48681442921511,-0.00322450425604053,0.979818039082733,0.0262134333770639,-15.3033384620698,186.041174464725,-7.40605265993761e-05,0.000122369447349602,0.000197154847819366,0.00350418313692605
8.5,NaN,0.823663246050924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,5.33796057142438,NaN,NaN,0.0767600428476504,-14.9906847510716,138.51095271868,NaN,NaN,NaN,NaN
15,NaN,0.472485508420243,0.00629143180317605,NaN,NaN,NaN,0.000554195205962169,-1.77255657975311e-05,NaN,0.00440386386675692
20,3.17423512938017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000545661775490358,NaN
25,NaN,0.207868353448459,-0.000665168781388275,0.152159571513084,255.754559337589,167.327038015284,NaN,NaN,NaN,0.00383176085961328
30,4.87643019937047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,0.0932020392072837,NaN,0.143563963592065,431.904285839162,NaN,0.00138045461247964,0.00152403235722886,0.00136599776029376,NaN
40,NaN,NaN,0.00340577945696582,NaN,NaN,161.394735387304,NaN,NaN,NaN,0.00606129814942514
45,4.61439189265591,0.0847391246350893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,0.112905550384432,861.882779861408,195.320553434049,NaN,NaN,NaN,NaN
55,5.27994561641865,NaN,0.000465605460063073,NaN,NaN,NaN,0.00209473356392875,0.0019702591445534,0.00215683678432197,0.0218974202952034
60,NaN,0.0811103596537563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.13925912362295,938.095544859688,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,168.144150181083,NaN,NaN,NaN,NaN
75,4.32894834151768,0.0445488446809629,-0.0242376042194854,NaN,NaN,NaN,0.00167352132569537,0.00183355572385487,NaN,0.0317290019619334
80,NaN,NaN,NaN,0.179532754535132,865.58675820245,NaN,NaN,NaN,0.00147288665318129,NaN
85,NaN,NaN,NaN,NaN,NaN,195.651568173995,NaN,NaN,NaN,NaN
90,2.86173132838331,0.0428635893309956,0.00232792600936033,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,0.00154173504256967,NaN,NaN,0.038014360627743
100,2.8373902380612,0.0306583708210984,0.0296239747092808,0.15537627731802,799.43739959582,160.38219443931,0.0015546322713333,0.00172859069548702,0.00141381357063466,0.0418429047483265
150,3.8264210497716,0.0805736257458326,0.000527980968405768,0.146528082094534,732.276719303121,237.626076924518,0.000718844680648876,0.00139121212953564,0.00125248616800565,0.0499421138348485
200,NaN,NaN,-0.00218900207550928,0.135888722894374,315.84503386106,175.739886330685,0.00126916418812401,0.000932925525361753,0.00106220376554745,0.0501166172030419
250,NaN,NaN,0.0160424561614446,NaN,265.682051404642,205.292342064871,0.000814886397581577,0.00122401649920739,0.000894457708693003,NaN
300,NaN,NaN,0.0106075956892691,NaN,395.117644165366,184.67144963335,0.000990261406583136,0.000707409354105777,NaN,NaN
