t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,SOCS3nRNA3_Obs
0,5.25432622540075,9.07108189868127e-05,0.000124145298770873,0.00101283870950454,10.0195574251274,0.119808725007894,9.93367077421615e-06,1.00710375453179e-05,0,8.78188278470592e-05,0,0
5,NaN,NaN,NaN,NaN,15.1050126723066,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,0.283344717123911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,3.81326145019688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,0.0348476857781487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,148.420013833944,NaN,NaN,NaN,NaN,NaN,0.0427862699324591,NaN
10,NaN,NaN,0.254002136475611,0.141613005386913,NaN,0.0887205881883971,0.00327674007687425,0.000739337187410201,0.000297824766883387,0.000359527874567288,NaN,NaN
15,4.55081117350798,0.0323161200416692,NaN,NaN,811.313902810553,NaN,NaN,NaN,NaN,NaN,NaN,0.00255346159192154
20,3.70126336565095,NaN,0.0835566992907538,0.226744423703061,1366.13455116548,0.305451014992355,NaN,NaN,NaN,0.0074830061795938,2.03700543207759,NaN
25,5.23762279408288,0.024055160137925,0.102483091435197,NaN,1458.99319409105,NaN,0.00539629263996611,0.00420617646573991,0.00454087858108249,NaN,NaN,0.00535553426747337
30,NaN,NaN,0.0936658922573946,0.233561069023671,1416.0615141618,1.75714500048845,NaN,NaN,NaN,NaN,6.9943002416895,NaN
35,4.67969156792498,0.0146228169470197,NaN,NaN,NaN,NaN,0.00675827218807538,0.00558142682569114,0.00452536245080016,0.0303849798188527,NaN,NaN
40,NaN,NaN,0.0629665003958205,NaN,2335.43716308124,7.29649241849715,NaN,NaN,NaN,NaN,12.3817356358711,0.00482803078028396
45,3.21028742559519,NaN,NaN,0.327054487071558,NaN,NaN,NaN,NaN,NaN,0.0478010289649721,NaN,NaN
50,NaN,0.00924918857600255,0.042214234309307,NaN,2322.12441106123,NaN,0.00473104380845299,0.0047553296684705,0.00435116474060396,NaN,15.2416095590079,NaN
55,4.99784686825797,NaN,NaN,0.260257956151397,1969.97842357828,24.5961050612953,NaN,NaN,NaN,NaN,NaN,0.00463977881333642
60,NaN,0.00885289902863134,0.0418074340821312,NaN,NaN,NaN,NaN,NaN,NaN,0.0941084799909848,NaN,NaN
65,4.75823774648376,NaN,NaN,NaN,NaN,23.4741520813517,0.00284345305510546,0.00294653136583846,0.00420791052059129,NaN,22.1057492484144,NaN
70,NaN,NaN,0.037282598946798,0.222470458423273,1689.98463795345,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00246910945675047
80,5.47961502026233,0.00894975427784648,NaN,NaN,1412.74915814587,NaN,0.00233787001778189,NaN,0.00228510973371143,0.0859739342152445,24.6376458022841,NaN
85,NaN,NaN,0.0289026234472079,0.25617913556868,NaN,56.6650045156644,NaN,0.00279743285427434,NaN,NaN,NaN,NaN
95,4.83202713083561,NaN,NaN,NaN,830.70323656619,NaN,NaN,NaN,NaN,0.0765753021687755,NaN,0.00188138467308175
100,4.04575427660501,0.00988105868317386,0.0285080954727023,0.299398222954593,882.11934701633,57.7204050022926,0.0016875511328,0.00131642502138779,0.00130981028524196,0.0956149353163347,25.3806858991717,0.00157424737371149
150,NaN,NaN,NaN,0.210309120830664,NaN,61.4531455662519,0.00068758049481839,0.000638037885510583,0.00060019696930733,0.0716966523270012,15.6506602618681,0.000536260624239365
200,NaN,NaN,NaN,0.297414066213911,NaN,32.6406707120739,0.000370937585599125,0.000651884548486811,0.00047563445248223,0.0657696120906939,17.0512222758536,0.000619560054977883
