t,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_8_Obs,Compound_9_Obs,Compound_11_Obs,Compound_13_Obs,Compound_14_Obs
0,5.04805882732023,-203.502694906345,0.00384213483188838,0.0777644803572509,0.475375348488688,26.7844314167734,277.124368357028,-142.026844674381
8,NaN,90.6363870690211,NaN,NaN,NaN,161.626237706192,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,339.93411448148
9,NaN,NaN,NaN,0.532998803247369,NaN,NaN,NaN,NaN
10,73.2154532830324,NaN,0.0673767042931175,NaN,0.855935199002804,NaN,471.500665214521,NaN
15,NaN,181.881635275691,NaN,NaN,NaN,445.894877490867,NaN,NaN
20,70.4538998705792,NaN,NaN,0.2477871320668,NaN,NaN,NaN,728.179423094673
25,NaN,1159.58918050225,0.0514971662605937,NaN,0.854370949548236,863.858377250172,2099.1211087327,843.564664337523
30,NaN,NaN,NaN,0.154427062137095,NaN,NaN,NaN,NaN
35,55.8089724020508,1741.36472088833,0.0368955642921878,NaN,-0.325916142200426,1292.14977004341,3679.81640725028,1929.9483951417
40,NaN,NaN,NaN,0.14831420447157,NaN,NaN,NaN,NaN
45,54.8892551026591,2323.87259939128,NaN,NaN,NaN,1940.248903202,NaN,NaN
50,NaN,NaN,0.032444555148964,0.18386503940243,2.03624790662051,NaN,4114.73950546347,2009.62992747301
55,NaN,2191.36603253118,NaN,NaN,NaN,2042.55727385052,NaN,NaN
60,41.339699858084,NaN,NaN,NaN,2.93091985135602,NaN,NaN,2392.43973287673
65,NaN,2142.11971560486,0.0211602656889256,0.167069273750316,NaN,2178.50188289743,3891.44523344011,NaN
75,34.651731776594,NaN,NaN,NaN,5.64165126145429,NaN,NaN,1747.32280365015
80,NaN,1781.56770451651,0.0257798640069608,0.161832977657621,NaN,1998.33521974363,3706.90173140814,NaN
95,29.442671011756,NaN,NaN,NaN,6.51234761213573,2078.00495845811,3367.11471940989,1583.33835296776
100,22.6242720083182,1036.67239892656,0.016917178365988,0.153686361921379,7.17440641666018,1836.84578945261,2825.39256579352,1670.38444550645
150,14.0940967006854,644.817165527424,0.0318606694607192,0.134429505371994,9.46440444232095,924.508206950523,2093.47315810371,551.172635884933
200,27.2098673647607,NaN,0.0255116506326909,NaN,12.2362450243672,451.734691182267,1054.84868317091,NaN
250,20.6652330734788,NaN,NaN,NaN,10.0789978661977,NaN,899.371601201286,NaN
300,NaN,NaN,NaN,NaN,10.8185175538328,NaN,1574.00114913696,NaN
