t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,EpoRJAK2_Obs,pSTAT5_Obs,STAT5_Obs
0,-0.00110056511902864,-0.000317770006933587,-0.00226265089863362,0.0010547829461153,27.8062458917093,-0.0105452850526983,0.329861865683884,2.92446264922587,-1.30396191818059,58.3143173871664
15,0.141653017656183,0.0231428724405139,0.104780027061558,0.0710370836791965,28.8454104377238,NaN,NaN,2.69357384359976,46.0746512089442,15.364619569694
20,NaN,NaN,NaN,NaN,NaN,NaN,12.3000854980312,NaN,NaN,NaN
25,0.126730618970129,NaN,NaN,0.0261571666878621,NaN,0.0913374714943252,NaN,2.77477634445782,NaN,NaN
30,NaN,0.0153422838693324,0.0653467232702157,NaN,NaN,NaN,NaN,NaN,38.0983113394472,17.2829078866258
35,NaN,NaN,NaN,NaN,23.2326589562739,NaN,13.2239570130442,NaN,NaN,NaN
40,0.119384862365432,NaN,NaN,0.0178638812350155,NaN,NaN,NaN,2.56586982497233,NaN,27.5937207353116
45,NaN,0.0123811984457272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,0.0461975523263939,NaN,NaN,0.0905947488608408,NaN,NaN,25.3251705364587,NaN
55,0.107435402193901,NaN,NaN,0.0146844348739688,27.6570443996432,NaN,10.5563898894482,2.37248625727095,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.9932656719944
65,NaN,0.011360447093169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,0.0414004442211529,NaN,NaN,NaN,NaN,NaN,23.7557161213537,NaN
75,0.0983146330677091,NaN,NaN,0.0109568687977738,NaN,0.104415407552043,10.0837217939466,2.62570756171206,NaN,35.4333281673033
80,NaN,NaN,NaN,NaN,28.6007351429067,NaN,NaN,NaN,NaN,NaN
85,NaN,0.00871146923427134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,0.0332717287015023,NaN,NaN,NaN,NaN,NaN,17.0035781606199,NaN
95,0.101180158997034,NaN,NaN,0.0105752608056777,NaN,NaN,NaN,2.91324569072364,NaN,38.0864941246442
100,0.0976908887101822,0.012403495616307,0.0293976013317276,0.00949982464933478,22.2808412254155,0.098540987134645,8.48236693556745,2.84930229748489,17.5389993192182,40.1305501729383
150,0.0997616585396814,0.00918393880646228,0.0300230222236822,0.0061968908218852,26.8287743691065,0.118452855545665,6.01601586738105,2.36936021812448,18.3426155587966,44.9062586813522
200,0.104251466536957,0.00729759709343396,0.0275808639330194,NaN,NaN,0.117830417301627,7.55299466955761,2.83218544648232,12.5719428834029,42.4333625298755
250,NaN,NaN,0.0281033921380783,NaN,NaN,0.113392291577087,5.63853473955548,NaN,11.0173543848234,45.7519227047742
300,NaN,NaN,NaN,NaN,NaN,0.139121451200399,6.14237023274589,NaN,14.0878404161665,47.2378678969377
350,NaN,NaN,NaN,NaN,NaN,0.127185547501114,NaN,NaN,NaN,NaN
