t,SHP1_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,24.7329691157524,21.4074761110346,113.841584734584,8.28845738123273e-05,36.6021062909193,0,0.0113257183903417
9,24.5126650571646,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,29.9356730313667,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,23.826498234709,0.0347189985292376,1.91944990684165,NaN,11.876777031225
20,28.9511487844396,18.8561811379373,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,0.115028705734487,NaN
30,31.5504991579121,NaN,37.9150154193592,0.0241858456490417,8.09727734296728,NaN,17.0675928500813
35,NaN,26.600816688341,NaN,NaN,NaN,NaN,NaN
40,32.2604835330223,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,19.0990557317194,NaN,13.2789664951658
50,36.5641043541925,14.450678465055,38.9523208732811,0.0249017402753773,NaN,0.180991444682163,NaN
60,44.7873611276325,NaN,NaN,NaN,23.2890301503261,NaN,NaN
65,NaN,19.2625414528342,56.0933094014367,NaN,NaN,NaN,15.5234395051243
70,NaN,NaN,NaN,0.0160491474798458,NaN,NaN,NaN
75,23.3583028269616,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,28.0154667469066,NaN,NaN,25.6209660606875,0.344977710856884,NaN
85,NaN,NaN,42.9977566583893,NaN,NaN,NaN,5.96634316504976
90,43.3790015743175,NaN,NaN,0.0199832407824652,NaN,NaN,NaN
100,41.6450408804987,33.2558717026119,47.0848932934311,0.0302729459897409,42.5635172247706,0.133565772247208,5.75144628844461
150,27.9395814477702,NaN,97.4898129394774,0.0187379199310696,33.227858258325,0.348102496107895,12.1896360407419
200,39.0267523263161,NaN,73.1614200844941,0.0175872062361226,49.8598552968625,0.277924524994396,6.19980959417072
250,NaN,NaN,62.23282658132,0.016778842932023,28.8076872524509,0.167060664376818,3.43491410649851
300,NaN,NaN,87.9744953056122,NaN,47.632813870364,0.235479155268276,4.58951136823844
350,NaN,NaN,46.6568816128883,NaN,NaN,0.229436344010985,NaN
450,NaN,NaN,NaN,NaN,NaN,0.305522816953192,NaN
