t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,EpoRJAK2_Obs,Compound_1_Obs
0,-0.000551528552976128,-0.00936960458932376,12.8806236404156,46.8697084897212,0.306084232470115,3.89535901166269,4.12110418156372
10,NaN,0.410841636309302,13.2996281034547,NaN,NaN,2.66225834087757,NaN
15,0.0235206225038652,NaN,NaN,3.03221191545623,35.6809923856334,NaN,13.7122515162987
25,NaN,0.0949077036301469,15.0091472429763,NaN,NaN,3.52579016101928,NaN
30,0.0216497388370038,NaN,NaN,7.56799181352432,29.6063100674883,NaN,23.1414123563244
35,NaN,0.0701875525659477,NaN,NaN,NaN,3.32879078014839,NaN
40,NaN,NaN,11.5966578357897,NaN,NaN,NaN,NaN
45,0.0180992118439259,NaN,NaN,11.1433479236782,20.8370915446582,3.60693349023104,NaN
50,NaN,0.0556152348935014,NaN,NaN,NaN,NaN,22.60216031696
55,NaN,NaN,12.2828398302506,NaN,NaN,NaN,NaN
60,0.0176704322602494,NaN,NaN,NaN,17.4034287491186,3.99968448110863,NaN
65,NaN,0.0308017620615995,NaN,11.518094571338,NaN,NaN,23.1822281912279
75,NaN,NaN,13.7725528202895,NaN,19.9468343667142,4.22082600589104,NaN
80,0.0145761061448836,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,0.0236924895934996,NaN,21.6890157743904,NaN,NaN,19.7209344436661
95,NaN,NaN,13.7964423552733,NaN,14.405622702035,3.12622658418313,NaN
100,0.0150165709077495,0.0191864196179218,NaN,28.8925762469641,16.6208578622097,4.06407713456604,17.302524126585
150,0.014020476833468,0.0123221187959599,NaN,26.3990618294935,11.9030374865605,4.32536673038449,15.1748017332604
200,0.01297310108349,NaN,NaN,29.3091878207395,8.80998683716722,3.80922237210527,11.6320937128631
250,NaN,NaN,NaN,30.8925373281629,9.23986427525812,NaN,11.8471009590877
300,NaN,NaN,NaN,NaN,10.820876630218,NaN,12.3707651088842
350,NaN,NaN,NaN,30.5050034764696,NaN,NaN,NaN
