t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs,Compound_1_Obs
0,0,0.000105568435087342,0.000100097142933865,11.054733918468,0.0180583707868681
10,0.260709048327557,NaN,NaN,NaN,NaN
15,NaN,0.00591680832286412,0.00855758699935064,53.0169237600168,9.94572594289552
20,0.197787082730323,NaN,NaN,NaN,NaN
25,NaN,0.0748102245237777,0.0604883097649174,328.243384712373,NaN
30,0.136073291434432,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,6.28023454922367
40,NaN,0.0600646842792496,0.0561005279576665,2045.74636948519,NaN
45,0.0589600789583454,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,5.15389290777349
55,0.0852674101531384,0.0708593080567151,0.0679654507792337,1513.68652525132,NaN
70,0.0685112944582526,0.0553234244298295,0.0375803595832619,1804.61284635426,5.33869080715249
85,0.074942646943136,NaN,NaN,NaN,NaN
90,NaN,0.0497806332419692,0.0273642513532365,842.712256248373,NaN
95,NaN,NaN,NaN,NaN,4.38350974094783
100,0.0463595463913142,0.0633186054399978,0.0209393477024126,1704.886259499,3.20412266584171
150,0.082201874298508,0.0461959073870059,0.0262479339191159,878.951634785768,2.10919650993788
200,0.0744895074642704,0.0391977235611615,0.0260539297716761,869.014658386192,2.46555002707513
250,NaN,0.043502864101406,NaN,1117.05688212846,3.25409679736994
300,NaN,NaN,NaN,998.887191317326,2.00915015847511
