t,p12EpoRpJAK2_Obs,CISnRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,0.000798221517459186,0.70530163035306,2.03179466141687e-06,7.91451277754076e-05
10,0.0142113869272867,NaN,NaN,NaN
15,NaN,-0.38522115626592,1.0664376764719e-05,1.27951813854954e-05
20,0.04167039993474,NaN,NaN,NaN
25,NaN,7.19426651603341,2.20486053975738e-05,NaN
30,NaN,NaN,NaN,0.000272019477254779
35,0.0249576668981759,NaN,NaN,NaN
40,NaN,10.5561790814328,4.98151416752084e-05,NaN
45,0.0145700425177207,NaN,NaN,NaN
50,NaN,NaN,NaN,0.000946762054019048
55,NaN,24.1861717761376,5.92811434921296e-05,NaN
60,0.0088063402960888,NaN,NaN,NaN
70,NaN,36.9776236798457,5.81743700707519e-05,0.00174942388107863
80,0.00702472903491089,NaN,NaN,NaN
90,NaN,51.1200329723968,5.8863652876593e-05,0.00244169148750999
100,0.00568760733374742,51.3773291567806,6.39126207214444e-05,0.00268462767423096
150,0.0039098236833654,51.2555571695992,4.97467219525069e-05,0.00348014468738113
200,NaN,47.6748959703346,5.66548847172648e-05,0.00388747374054735
250,NaN,50.8296697875473,4.74162589625221e-05,0.00425529920503504
300,NaN,44.9515928378773,5.29646554076687e-05,0.00446953042017393
