t,STAT5_Obs,Compound_3_Obs,Compound_4_Obs
0,48.9756300130216,608.426152442402,214.073759892405
10,NaN,-73.1825065732565,179.037658574042
15,23.6053463137019,NaN,NaN
20,NaN,-91.1545142734677,1311.17884881647
25,24.1294417268831,NaN,NaN
30,NaN,132.315402839508,2541.55571701356
40,25.2134597886629,NaN,NaN
45,NaN,1401.07963199646,4719.3110488389
55,24.3592703029343,2869.95562739436,6299.66797087167
70,NaN,5002.3620952662,7194.05362676399
75,30.5857729596961,NaN,NaN
85,NaN,6322.47254642356,7769.51806066765
90,32.4836725053219,NaN,NaN
100,33.3914540049598,7584.98552980888,7748.57443603553
150,38.6216617431257,6312.03389103615,5605.51571802155
200,40.0191468094362,4170.96229697153,3579.26694663354
250,38.6137058147155,3746.9693982485,2993.32467342798
300,39.0973290135672,3642.13662990935,2796.69938346065
