t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA3_Obs,CIS_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.000120461257550191,1.02235069729092e-05,0,0,0,9.59570581095029e-07,217.257720037132
8,NaN,0.0126316979082358,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,1.71347163472646e-07,NaN,NaN
15,0.0676719909692714,0.0234497358980177,0.0167954142921425,0.219742973923485,NaN,6.1822725572006e-06,209.240779058666
20,NaN,NaN,NaN,NaN,5.91944971017313e-05,NaN,NaN
25,NaN,0.0149409787491,NaN,2.60605695186651,NaN,NaN,NaN
30,0.0402088719042018,NaN,0.0332109888997293,NaN,NaN,9.98365208749987e-05,230.835862379505
35,NaN,0.00754994261692078,NaN,NaN,0.00368756252332826,NaN,NaN
40,NaN,NaN,NaN,14.8427349705136,NaN,NaN,NaN
45,NaN,0.0043974009911909,0.0368150946533923,NaN,0.0182395337376466,0.000315620407501647,203.858346821116
50,0.0347837986473113,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,37.9217351393657,NaN,NaN,NaN
60,NaN,0.00398968816980682,NaN,NaN,0.0870299203266829,NaN,NaN
65,NaN,NaN,0.0455118035518543,NaN,NaN,0.000658555763762898,186.346429094452
70,0.0272136696205641,NaN,NaN,49.4464623974164,NaN,NaN,NaN
75,NaN,0.00291076165758977,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.347529374199497,NaN,NaN
85,NaN,NaN,0.0527034572456867,NaN,NaN,0.00102772595841452,207.734725779042
90,0.0357325769269194,0.00262360240085424,NaN,64.0167917833228,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.561618237113704,NaN,NaN
100,0.0305417774200729,0.00321514545541097,0.0600460280453121,59.6298433212944,0.72326556167989,0.00100698182619483,245.99336086343
150,0.026596075125038,NaN,0.0609199646924499,48.546991829321,1.46824039437311,0.00131544742083199,239.670740604407
200,0.0216940316760043,NaN,0.0672479758760091,39.9120275035774,1.63551042204509,0.00152028140512706,221.83965410897
250,0.0226302710008526,NaN,0.0706294454004145,44.2744930266726,NaN,0.00154711136780619,220.637285807955
300,NaN,NaN,0.0815539391322172,40.8662489784422,NaN,0.00198569431669503,216.343465771328
