t,p2EpoRpJAK2_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,Compound_1_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,0.00103084894455792,-0.0167585875450628,-0.338940556079323,67.0275226498275,-9.12606374554245,-0.0547249586907573,-1.27977265579175e-05,-49.0581062468458,-46.065707353705,-80.8488409933758,22.0301638789239,247.791707312544
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.0534514195888,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234.691846224855,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,-68.7006664221527,NaN,NaN,NaN,NaN,NaN,NaN,171.686575704779
5.5,NaN,NaN,8.7981310974371,60.3846464946528,NaN,NaN,NaN,132.742398803031,NaN,NaN,NaN,NaN
6.5,0.19199473473955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,696.603832885327,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,579.741740685429,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,800.266992292843,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1366.5833080629
10,NaN,0.112435717351337,16.1591212004319,336.104478303805,-0.77291281405939,0.528685246143923,0.00214119549397842,144.55635650019,NaN,NaN,1198.12994953902,NaN
15,0.105779778531967,NaN,21.1820583576968,892.841617116958,108.974564853291,NaN,NaN,625.882363827039,1999.38526547411,1712.29243700919,2392.70191727395,2630.56498201587
20,0.0823826551944299,0.156525153678227,NaN,NaN,388.620830029288,0.795154399094367,NaN,NaN,2727.92101306097,NaN,3198.17010477285,3852.70210576109
25,NaN,NaN,26.0762791326953,1729.04686477333,828.396091119518,NaN,0.00359500394875109,1474.50919848303,3248.46310851926,2641.32726366622,3843.87107629869,5597.21748654827
30,0.0555690607900628,0.174089585864317,24.0385634015639,1911.14074973704,NaN,1.44500269904802,NaN,1820.51274858134,3732.1746226756,NaN,3803.17321433273,NaN
35,0.0473567635731594,NaN,24.0318302507211,1849.29400679901,1511.83361202315,NaN,0.00357787673946866,1904.76552836858,3626.99976957417,3519.85552043025,3691.63737311336,7015.60353736722
40,NaN,NaN,NaN,NaN,1695.21391712098,NaN,NaN,NaN,NaN,NaN,NaN,7554.45640165321
45,0.0347898397306688,0.211999987438492,18.4719593452606,1727.18819681029,NaN,3.7482921217814,NaN,1853.01401655305,3433.80386834767,3623.50308357579,3636.062996058,NaN
50,NaN,NaN,NaN,NaN,1887.61908000086,NaN,0.00268080117738093,NaN,NaN,NaN,NaN,6948.81108453893
55,0.0319411409528755,0.239140577343238,15.2305339612977,1447.20009350034,NaN,6.01222493546922,NaN,1762.12092338635,2965.00829332217,NaN,2679.98291901096,NaN
60,NaN,NaN,NaN,NaN,1639.75232353239,NaN,NaN,NaN,NaN,3107.83358213812,NaN,6095.7542425852
65,NaN,NaN,12.7123006356326,1200.88494990728,NaN,NaN,0.00187817157922874,NaN,2463.57357051534,NaN,2576.03149792136,NaN
70,0.0294126683031684,0.234028922513096,NaN,NaN,1411.90076554156,NaN,NaN,1193.44978307153,NaN,2540.55406426306,NaN,5129.63429214214
75,NaN,NaN,NaN,NaN,NaN,8.79008518980592,NaN,NaN,1929.54105825525,NaN,1865.52989566056,NaN
80,NaN,NaN,8.31858648756823,864.320150270757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,0.0255507483541541,0.255454418036288,NaN,NaN,1008.45168363947,NaN,0.00125707910927199,820.376975717958,NaN,NaN,NaN,3708.14611503607
90,NaN,NaN,NaN,NaN,NaN,10.7611865444272,NaN,NaN,1480.2408844378,1660.13224871484,1470.38778210609,NaN
95,NaN,NaN,7.10633989174586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0262211349141358,0.235265178849608,6.46993897368008,581.537297462976,722.337202319832,10.823859111838,0.000999888636617877,564.323294167081,1056.66405799157,1318.03358242076,NaN,2931.074719392
150,NaN,0.254778581187139,NaN,NaN,NaN,10.6543497015145,0.000737418891508114,NaN,NaN,755.424187520422,NaN,NaN
200,NaN,0.282191022574508,NaN,NaN,NaN,9.70521178954109,0.000632957558950761,NaN,NaN,623.948834413467,NaN,NaN
