t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,npSTAT5_Obs,pSTAT5_Obs,Compound_1_Obs
0,6.26113588262679,0.00496886340765725,0.0409086978318597,-0.00574413855258867,-0.308277274589724,13.2587851496431,0.41635780147266
10,6.10366747996416,NaN,NaN,0.378155230577584,NaN,NaN,NaN
15,NaN,0.0610397035647113,0.233135931389608,NaN,21.8874462689574,106.107963178139,NaN
20,NaN,NaN,NaN,0.0831416868866369,NaN,NaN,31.8454982456191
25,4.17332388913204,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,0.0348511199481628,0.160108900078994,0.0493263378482848,23.4143508829097,105.627327141079,NaN
35,7.54890502182651,NaN,NaN,NaN,NaN,NaN,37.5987740246888
45,NaN,0.03260009848721,0.10416760153463,0.0184772635973951,NaN,71.9436464924913,NaN
50,6.87880614456195,NaN,NaN,NaN,35.2329081535031,NaN,NaN
55,NaN,NaN,NaN,0.00664355993007798,NaN,NaN,NaN
60,NaN,0.0354045276428574,0.100315918654004,NaN,NaN,83.5849311169189,25.681857751755
65,5.14746152338245,NaN,NaN,NaN,29.5028215345964,NaN,NaN
70,NaN,NaN,NaN,0.0188694558628118,NaN,NaN,NaN
80,5.90395748568245,0.0183553012269438,0.0926466037237295,NaN,NaN,68.4034830948937,19.5504391146504
85,NaN,NaN,NaN,NaN,25.4471867658189,NaN,NaN
90,NaN,NaN,NaN,0.0199653778727237,NaN,NaN,NaN
100,5.695544844966,0.0154155733973061,0.0677184137594472,0.00620884232504088,16.363959853511,54.878528010146,23.1478609446538
150,6.24825184454658,0.0158507055323159,0.0741483072799371,0.0353300951406673,18.7699756289429,73.4713380538122,18.0981165396647
200,8.57248580927155,0.0143618624258214,0.043569727201981,NaN,14.8908103975379,49.2046500813287,18.8374038215854
250,NaN,0.0188298819737886,NaN,NaN,3.65038749694032,39.3899182617048,10.2269773957301
300,NaN,NaN,NaN,NaN,8.28570576196173,24.7442074027988,6.35298207344313
350,NaN,NaN,NaN,NaN,NaN,NaN,10.2380409522751
