t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CIS_Obs
0,0.038464508390052,29.8439204323727,0.0169457768976367,372.883512077395
8.5,0.903009786477249,NaN,NaN,NaN
10,NaN,28.101515480397,0.0414346578809927,NaN
15,0.808218581955314,NaN,NaN,342.147355219629
20,NaN,NaN,0.0820730112489026,NaN
25,0.404249892524101,43.1259473858847,NaN,311.915512034171
35,0.140468431892903,NaN,0.140050153813138,NaN
40,NaN,40.7639008296705,NaN,267.438575947298
50,0.000514313226849888,NaN,0.130109165161097,NaN
55,NaN,49.2444045661633,NaN,318.401704693047
60,0.047946427387388,NaN,NaN,NaN
65,NaN,NaN,0.157089089918692,NaN
70,NaN,51.2281168676187,NaN,374.787592671635
75,-0.00788942181391809,NaN,NaN,NaN
80,NaN,NaN,0.155322280090061,NaN
90,0.0641369674032757,32.5674729176487,NaN,345.519882197928
100,0.0662850537125029,46.2200899965614,0.149022286087502,409.834512425918
150,0.0417040093468559,32.3090101923338,0.129476567394362,338.031568593224
200,NaN,35.9009698010126,NaN,393.579484398972
250,NaN,NaN,NaN,371.264969182365
300,NaN,NaN,NaN,347.977952569285
