t,EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.00119485188428375,0.00848303193422233,9.356730372402e-07,6.52801088582359e-05
7,0.562876756745113,NaN,NaN,NaN
10,NaN,3.81880216367819,NaN,NaN
15,1.05717306216077,NaN,0.000134763742056156,NaN
20,NaN,NaN,NaN,0.000713173625220035
25,0.17440054489118,10.0526668649249,NaN,NaN
30,0.211521234570927,NaN,0.00130700660053084,NaN
35,NaN,6.27892330013997,NaN,NaN
40,NaN,NaN,NaN,0.00754121934123425
45,0.228709630438433,NaN,NaN,NaN
50,NaN,5.98311028077381,0.00126429621075185,NaN
55,0.139832832889261,NaN,NaN,NaN
60,NaN,7.00606876451035,NaN,0.0106861980767767
65,NaN,NaN,0.00185511613904677,NaN
70,0.228871649712879,NaN,NaN,NaN
80,NaN,8.17915955106878,NaN,NaN
85,0.110175834552073,NaN,0.000547583263814883,0.0167994676118366
95,NaN,3.12489934673601,NaN,NaN
100,NaN,3.3402822024282,0.00117184631353137,0.0192302558650574
150,NaN,3.2340768895535,0.000339495844793287,0.0249761994631806
200,NaN,3.50641417243104,0.000518801354548075,0.0237071697005061
250,NaN,NaN,0.00046753698872198,0.0274238824434756
300,NaN,NaN,NaN,0.0689776467608717
