t,SHP1_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,23.5172126830301,1.03273750411992,-0.218210623613804,-2.81102465346373e-05,-8.24572360561228e-06,1.1274500344056e-05
6.5,26.1796511583767,NaN,NaN,NaN,NaN,NaN
15,22.995263229548,10.6768779404086,0.139289908041707,NaN,NaN,NaN
20,23.051769047087,NaN,NaN,0.00011384203359444,9.56872546675495e-05,7.32030650513752e-05
25,NaN,-4.27664919573737,0.210660111714023,NaN,NaN,NaN
30,25.5927235358761,NaN,NaN,NaN,NaN,NaN
35,24.4432888166189,NaN,NaN,0.000236492294550876,0.000230905168675379,NaN
40,NaN,27.2627534540279,0.14503734480851,NaN,NaN,0.000241902651851558
45,22.1784244477044,NaN,NaN,NaN,NaN,NaN
55,25.6155533529216,79.2042635452113,NaN,0.000319750009127544,0.000301757250977895,NaN
60,NaN,NaN,0.277277618238544,NaN,NaN,0.000309661745299714
70,23.6574415094042,155.971003374991,NaN,NaN,NaN,NaN
75,NaN,NaN,1.06101130217649,0.000310045006872679,NaN,NaN
80,NaN,NaN,NaN,NaN,0.000290584159563824,NaN
85,23.2607346513375,NaN,NaN,NaN,NaN,0.000294229677780054
90,NaN,225.352984779043,NaN,NaN,NaN,NaN
100,25.6955725265586,228.441008707908,2.62218722200827,0.000253905201864309,0.000252452489569475,0.000259812841103997
150,NaN,202.643108640739,4.79010316952755,0.000205615923584592,0.000199754646136565,0.000232943257432875
200,NaN,174.294639937036,5.64476228456667,0.000195219272376187,0.000203110810163951,0.000210611809655031
250,NaN,159.747569596473,5.80616159891229,0.000194221479266917,0.000189405328361465,0.000200079534492726
300,NaN,167.950102735496,6.28462809504776,0.000195439204108726,0.000203837564025027,0.000193902524371512
