t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,163.334664723835,-16.0677674060795,91.1151076968916,46.1840415326553,0.406593732100341
4.5,NaN,NaN,141.269312170736,NaN,NaN
5.5,110.237321477782,NaN,NaN,146.371207320032,NaN
7.5,NaN,NaN,NaN,NaN,95.982537730206
8,NaN,96.8880303913305,NaN,NaN,NaN
9,NaN,NaN,336.5895661953,NaN,NaN
10,195.799814437667,NaN,NaN,143.016778781263,NaN
15,626.567684723437,460.428620184237,901.714675085976,133.965499850065,84.9048727596916
20,NaN,NaN,1513.00953811185,125.742294404338,NaN
25,1677.78803650994,1153.32452754666,1978.15829911013,NaN,66.637191404452
30,2178.63297552301,NaN,2305.49948362653,104.36628005464,58.5975472190776
35,2568.92536535237,1385.93974540315,NaN,96.3552946834605,NaN
40,NaN,NaN,2517.62530885776,NaN,44.884528948765
45,2706.70486464576,1241.33449113091,2471.7386754071,86.8054733968361,NaN
50,NaN,NaN,NaN,NaN,39.9427181982973
55,2242.7048705295,994.85851977216,2063.03585364017,76.4641456733259,NaN
65,NaN,716.116033389315,NaN,70.088172974111,37.4555886285253
70,1673.13295032683,NaN,1449.61191442453,NaN,NaN
75,NaN,NaN,NaN,66.3271777965692,NaN
80,NaN,464.554368608291,NaN,NaN,34.3487750115397
85,1074.04606593623,NaN,1040.63567209983,NaN,NaN
90,NaN,NaN,NaN,59.5229245515971,NaN
95,NaN,NaN,NaN,NaN,33.2639781337086
100,834.316572139076,335.890355671274,787.851509796243,63.7311116744115,32.0037072536988
150,NaN,196.960730736115,NaN,NaN,25.8221307637238
200,NaN,222.029476492313,NaN,NaN,NaN
