t,pSTAT5_Obs,p1EpoRpJAK2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_9_Obs,Compound_12_Obs,Compound_13_Obs
0,-3.37436212553027,-0.000520431529128658,3.02927596211957,3.60884399586786,3.17192386764825,-0.0616010478521209,125.956077067269,50.1900831284197,0.420527270546042,0.620736060512022
10,103.05002254135,NaN,NaN,NaN,2.74682066792535,NaN,NaN,NaN,NaN,NaN
15,NaN,0.0225392933567076,99.0595700708803,NaN,NaN,17.1601168942153,119.353983109255,NaN,17.3562431485094,16.4026650134683
25,89.5962357475689,NaN,NaN,3.1424043440851,2.9839701466341,NaN,NaN,47.798725324243,NaN,NaN
30,NaN,NaN,81.1314453755035,NaN,NaN,NaN,109.520506431509,NaN,NaN,NaN
35,75.2361953478713,0.0159814271623046,NaN,NaN,2.81122471143165,22.9974508437735,NaN,NaN,23.1477727006471,23.208547856546
45,NaN,NaN,71.0073788249829,3.53455668817143,NaN,NaN,NaN,50.1551943249684,NaN,NaN
50,61.2748630247674,NaN,NaN,NaN,3.01449469744167,19.5093386936776,109.617015662554,NaN,NaN,NaN
55,NaN,0.013540070692273,NaN,NaN,NaN,NaN,NaN,NaN,18.0598908837268,18.7144200532589
60,NaN,NaN,57.5140195777121,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,55.8419855307844,NaN,NaN,NaN,2.82716917173923,NaN,112.427057318701,NaN,NaN,NaN
70,NaN,NaN,NaN,3.379813127722,NaN,15.4650427956063,NaN,NaN,NaN,16.6766575112599
75,NaN,0.0115790210238867,47.8928010773421,NaN,NaN,NaN,NaN,47.6005880347873,13.8730549431273,NaN
80,46.8584455098073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,3.10785427459953,NaN,111.733688768835,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,13.8905981082914,NaN,NaN,NaN,NaN
95,NaN,0.0116145329439706,42.5416666303511,NaN,NaN,NaN,NaN,NaN,12.4787921166386,11.9145386094196
100,36.7493860587032,0.0108576818658834,44.2468787774247,3.48915055757359,3.23720906250795,11.6618126835661,119.843036135922,51.528382114064,12.2235484433827,12.0716186092321
150,28.8861624716263,0.00842240542280168,27.9240546456364,3.79821757876662,3.22238722196001,8.29651750202965,121.185572001514,50.185427865971,8.63946151482664,7.46179384943473
200,22.8148602467285,0.00788971137765495,24.7724103653639,3.61034097304468,2.96768015623125,6.92054340427126,117.771446910858,46.137422287072,6.78605310418596,7.43520255702399
250,24.9226824266364,0.00766830474014199,23.8949783616156,3.47253424927336,NaN,6.44140422246247,121.423806303968,46.9950375291293,6.23205234106372,6.28939753705076
300,21.1723761463153,NaN,25.9706626227912,3.64175035339381,NaN,NaN,119.869376831332,NaN,NaN,NaN
350,NaN,NaN,NaN,3.79638317407785,NaN,5.71910856966438,132.383258270445,49.7096090004542,5.98748670231715,5.47321777231161
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.3145877969783,NaN,NaN
450,NaN,NaN,NaN,3.77191258256106,NaN,NaN,NaN,NaN,NaN,NaN
