t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,CISnRNA1_Obs,CIS_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,STAT5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,4.99014917207232,-0.00190833974186575,0.0177388340133195,22.2740912997584,4.10739472631914,-2.70283930666218,5.09575527856054e-05,7.59318866957989e-05,0.180335448164007,44.3283294144782,6.17036437569675,0.00268003276706214,20.7831509149046,41.1427145129029,147.639994740341
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0668542833941564,NaN,NaN,NaN
15,3.75239507004655,0.0652726474792781,1.13258309498177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.60110360668418,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,0.0609307417950607,NaN,NaN,3.77174338242192,NaN,NaN,NaN,NaN,0.0990085103521636,NaN
25,4.55414723814973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1824889492136,NaN,0.0641156752884008,NaN,NaN,1710.13377097405
30,NaN,0.0525797535969803,NaN,27.5800736341833,1819.26745468383,NaN,NaN,NaN,NaN,NaN,4.8613364741981,NaN,NaN,NaN,NaN
35,NaN,NaN,0.350450800011596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0563044674081129,26.0687746569771,NaN,NaN
40,5.08951845250956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.61551343413938,NaN,NaN,NaN,NaN,11.5826721342222,NaN
45,NaN,0.0664940081199222,NaN,NaN,NaN,8.00110015916922,0.00122266377526126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,0.207789845913173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.42107001358822,0.0590505282311245,NaN,NaN,2310.01910351598
55,5.76687876138947,NaN,NaN,NaN,2381.42567645528,NaN,NaN,0.001133576426924,NaN,14.1581566896004,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8954938423979,NaN
65,NaN,0.04128799861523,NaN,25.0866580127554,NaN,14.5232684780086,NaN,NaN,14.7514807684574,NaN,NaN,0.0476260146739914,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.41456602866835,NaN,NaN,NaN,NaN
75,5.13506501513687,NaN,0.227243042289657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.2557700057599,NaN,1981.25848533502
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0530395593874828,NaN,NaN,NaN
85,NaN,0.0389777307151898,NaN,NaN,NaN,NaN,NaN,NaN,19.3627028601309,18.8010239091764,NaN,NaN,NaN,24.2829043166661,NaN
90,4.88784133007659,NaN,NaN,NaN,1530.93374571167,27.5386955437501,NaN,NaN,NaN,NaN,4.45390664532255,NaN,NaN,NaN,NaN
95,NaN,NaN,0.151680709588984,23.5392464342178,NaN,NaN,0.000813918765682228,NaN,NaN,NaN,NaN,0.0435895575211367,NaN,NaN,NaN
100,4.17883567277652,0.0487202497460214,NaN,NaN,1548.64326547589,29.1453303750823,NaN,0.000937403095164976,17.5864141355791,22.8818882416647,5.38091923957272,0.040656216608048,17.305052066932,24.5503780899828,1559.31587003971
150,5.32581138512604,0.0432503077732406,0.173313547982681,20.5586918954873,1186.34608212625,48.9342097115751,0.000640872458086797,NaN,21.8954172091164,25.2585073295494,5.05937310082684,0.0491271534214914,22.4393905517977,22.8549832060327,1296.47122707416
200,4.35866663891929,0.0466625845318612,NaN,26.9316927843843,1239.97764678788,50.538570424546,0.000793544686159185,0.000643092274075028,19.0885730939972,22.7474235216823,6.0020944875882,0.0559230731225544,20.5564729655672,21.1361989242612,925.587960255101
250,5.00250298585987,0.0527852492261322,NaN,NaN,1175.14961297719,47.4574783019565,0.000563831773807946,0.000540803660677684,22.4075442798865,22.0688748367672,4.93101261603807,NaN,25.3709270053072,27.2437610237103,983.255388270977
300,NaN,NaN,NaN,18.7253821035099,1129.34045826633,49.8285400888795,NaN,NaN,18.549723579084,28.9039065550686,5.32330279203993,NaN,18.537763617921,27.6826699448379,1094.76395853708
350,NaN,NaN,NaN,27.1077910498068,NaN,47.8003156382032,0.000525549683633905,0.000480830064264305,22.9750364115284,NaN,NaN,NaN,21.8261679121242,26.7827238941343,889.673708964178
400,NaN,NaN,NaN,21.0989037075827,1133.64880416051,NaN,NaN,0.000665949353017064,NaN,25.904000230806,NaN,NaN,23.8051079623886,NaN,1233.82714641304
450,NaN,NaN,NaN,NaN,817.738237914767,NaN,0.000623087255395565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,20.3900001940057,NaN,NaN,NaN,0.000525707375656814,NaN,27.8115388721044,NaN,NaN,22.3670934676363,NaN,1055.18422951689
550,NaN,NaN,NaN,NaN,1216.6193945761,NaN,0.000718931256795048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1266.12799443597
600,NaN,NaN,NaN,24.9006533919658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4237392673943,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,0.000570195239545872,0.00064013177470683,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5758638804117,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000666881228403068,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.6204437117682,NaN,NaN
