t,SOCS3nRNA5_Obs,SOCS3_Obs
0,1.31117484309692e-05,0.017102487026117
9,NaN,0.0536050503366641
10,0.00111638050013318,NaN
20,0.000847593737252228,2.21429817410641
30,NaN,3.20984140772637
35,0.00104580923427254,NaN
40,NaN,2.93007578014447
45,0.000281521832010543,NaN
50,NaN,0.842723651742845
60,0.00172222694350086,NaN
65,NaN,19.8689445830044
75,0.00167837291814106,NaN
80,NaN,4.37164432482155
95,0.000296034525384436,NaN
100,0.000685399981918624,60.6433244055442
150,0.00127621471828787,3.71115866458993
200,0.00044679415397051,8.73066005930091
