t,STAT5_Obs,CISnRNA5_Obs,SOCS3nRNA3_Obs
0,46.9004254845511,-2.15612287081221,-6.17759091663849e-06
7,1.04701901806383,NaN,NaN
8,NaN,-69.9060891001302,NaN
15,2.80501261430236,50.7336531872288,0.00068246925515692
20,5.99103993471905,NaN,NaN
25,NaN,-14.3903083349901,0.000856408056049421
30,8.94572078616626,NaN,NaN
35,NaN,233.436376675195,NaN
40,10.9266065679954,NaN,0.000858821863840734
45,NaN,327.108465619855,NaN
50,12.4767364213568,NaN,NaN
55,NaN,664.174154199013,0.00085856408694459
60,14.4028154920093,NaN,NaN
70,NaN,1151.72908099334,NaN
75,18.6695296529413,NaN,0.000701431022456885
85,NaN,1398.27946576673,NaN
90,20.6036769380991,NaN,NaN
95,NaN,NaN,0.000630723279741671
100,19.463826068117,1570.13406038331,0.000705972262954304
150,25.8921072191522,1346.60933038988,0.000473492207934657
200,NaN,1089.19459408803,0.000608230309797297
