t,EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs
0,0.00114064092586213,-0.00102057256715294,152.96041852277,0.155109145030378,0.0393207675031975,-0.233382654028058,-0.00573016154088658,3.08831602872355,-0.0143856024587272,-1.2238406888174e-07,-7.57037629698765e-07
9,NaN,NaN,NaN,NaN,NaN,-0.64593099242298,NaN,NaN,NaN,NaN,NaN
9.5,0.338290286997105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,152.257526397598,7.15206083007116,NaN,NaN,2.79173498114379,0.842250654233111,NaN,NaN,9.08893948714613e-06
15,NaN,0.0761962558901453,NaN,NaN,1.31434805814755,NaN,NaN,NaN,0.00831060675036811,3.99483320238058e-05,NaN
20,0.226934115197443,NaN,NaN,10.1257755267221,NaN,18.8305566721296,NaN,NaN,NaN,NaN,5.86681173126664e-05
25,NaN,NaN,145.032843573436,NaN,2.25117327526067,38.3754276458483,13.9643291689631,5.18371948304322,-0.00198663998798365,7.24848115657521e-05,NaN
30,0.209522237631877,0.119776833495681,NaN,9.18733770290378,NaN,NaN,NaN,NaN,NaN,NaN,7.73466980552505e-05
35,NaN,NaN,152.935424605364,NaN,NaN,NaN,44.260941657828,23.6748674101497,NaN,NaN,NaN
40,0.19458981532776,NaN,NaN,8.27914756569881,2.38894319178582,88.1252032199878,NaN,NaN,0.00277407162020555,7.71051780200596e-05,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.71528066163467e-05
50,NaN,0.141432690200724,151.620441516566,NaN,NaN,108.585744661943,86.8088794954903,60.7172712045416,NaN,NaN,NaN
55,0.182892498490352,NaN,NaN,7.33877114738288,2.16765714320259,NaN,NaN,NaN,0.157934297828943,7.12669666330764e-05,7.07712030973289e-05
65,NaN,0.151528217789953,145.115530675123,NaN,NaN,111.738243817966,106.031690688117,91.0504560805248,NaN,NaN,NaN
70,0.175076360908408,NaN,NaN,6.1667481293723,NaN,NaN,NaN,NaN,0.313620217213562,NaN,6.31839360750682e-05
75,NaN,NaN,NaN,NaN,1.80343908671723,NaN,NaN,NaN,NaN,6.10105210568887e-05,NaN
80,NaN,NaN,NaN,NaN,NaN,105.916387972169,109.381146763974,103.587019914686,NaN,NaN,NaN
85,0.180164002825044,NaN,138.781579938555,5.74833411119497,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,0.162324350741871,NaN,NaN,NaN,NaN,NaN,NaN,0.605465179186805,NaN,5.151758388416e-05
95,NaN,NaN,NaN,NaN,1.56808133467812,NaN,NaN,103.441735715149,NaN,4.97205226050647e-05,NaN
100,0.161061056648508,0.165797327769274,146.565838427036,5.36476759331411,1.5971210234384,90.6282584548221,96.2737554604277,103.542111818713,0.832672000256737,4.88495372591371e-05,4.93798978486214e-05
150,0.163650806742781,0.16032090376897,149.01038984097,4.57501203131347,1.16301144355421,69.8149645197343,67.5283996405465,73.9530951415627,1.44556731053249,3.94955835894928e-05,3.97895692358445e-05
200,0.163847036355506,0.170284653006958,154.704840072706,4.13589162015369,1.10600115715339,59.1950612363904,58.7165260593968,61.1868839731904,1.7884361271702,3.62327774177387e-05,3.56258856752415e-05
250,NaN,0.166440603363443,151.9417589977,NaN,1.07620121161292,NaN,53.189187643648,50.7756245332426,2.00044974979456,3.36740545721612e-05,NaN
300,NaN,NaN,NaN,NaN,NaN,NaN,52.227036073111,53.3163768558591,2.05457798212385,NaN,NaN
