t,Epo_Obs,EpoR_Obs,Epo_EpoR_Obs,Epo_EpoR_i_Obs,dEpo_e_Obs
0,1645.94556090165,511.382474391585,4.26160446410545,2.90461104284453,-5.01810002221954
25,1157.00390382534,NaN,150.571275012648,NaN,34.2786231023225
30,NaN,111.13548298594,NaN,334.150373033191,NaN
45,1021.22000318762,NaN,96.9523137705683,NaN,NaN
55,NaN,98.4762806383058,NaN,NaN,206.04836055956
65,NaN,NaN,NaN,396.007207359939,NaN
70,905.1912693888,NaN,77.6466081757856,NaN,NaN
85,NaN,94.8936653064112,NaN,NaN,374.016691306433
95,763.383391163725,NaN,74.0261529726818,392.247906070189,NaN
100,NaN,108.128947992066,72.9687420302144,NaN,460.914108303005
150,493.682974477069,152.36872389963,57.7423109003477,367.374615023357,650.626143309951
200,325.242313171432,187.05102709524,52.8656628874529,317.696432949925,914.281722484131
250,161.771516193895,228.486882305917,38.4502468191724,256.430063678604,1133.21038650796
300,78.4924882283416,301.22745222939,21.0833970021014,193.143555499532,1232.19103478219
350,34.7131336929011,393.26658934083,NaN,128.406728828821,1317.36407111871
400,7.60511164233734,434.845120943779,4.31083603772516,NaN,1486.20124603018
450,NaN,NaN,1.43814377089439,52.3256977552681,NaN
500,12.4652459752915,478.651920874876,NaN,21.8794661001342,1516.45686191466
600,NaN,490.649769300581,NaN,16.4670888096821,1446.55637618482
750,NaN,504.283098116169,NaN,-3.99154923410325,1471.97346387242
