t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,2309.44341618545,1971.57785016739,3195.91632801538,3107.75911537752,771.297078137916
25,NaN,NaN,2123.87988300262,2915.22768379613,NaN
30,2571.15671796692,2370.2101587627,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,848.157180390827
50,NaN,NaN,3289.69352727408,2684.3383997868,NaN
60,NaN,3713.84153379046,NaN,NaN,NaN
65,3215.72299315322,NaN,NaN,NaN,1396.25848360263
75,NaN,NaN,1779.04123783532,NaN,NaN
80,NaN,NaN,NaN,2015.64696158982,NaN
90,NaN,3019.42273751185,NaN,NaN,NaN
95,2916.03673109554,NaN,NaN,NaN,NaN
100,NaN,4591.24079515983,2188.56152347457,3270.70131635073,1418.24230120203
150,3438.56222656104,4035.53134235908,2331.39559623904,2442.65432181599,1917.02198849063
200,2585.23838688991,2390.32700792558,2115.59941517591,1896.39512596955,2622.64661000476
250,2927.45408406149,2746.3523875627,3060.72193960588,2123.96491866686,2006.51953490815
300,2818.47955216399,2916.86371468403,3025.16288268821,1769.74087020342,2266.53494473627
350,3044.93820077391,2027.28940481263,4156.06665577342,NaN,3332.3432336646
400,NaN,NaN,2736.17588613279,1672.43544009514,2990.4022309984
450,2927.82827490392,2358.83334143934,2709.17549344707,1413.38725729595,NaN
500,2522.18887991891,2041.63280185384,NaN,NaN,2940.43687246795
550,NaN,NaN,2374.35595946465,1280.91577709832,NaN
600,4261.03582624188,4061.91211525587,NaN,NaN,3728.92321401857
700,NaN,NaN,NaN,NaN,3412.29341570006
750,3615.2043698791,2791.24328522891,NaN,NaN,NaN
