timepoint,Bac_Obs,Compound_1_Obs
0,-0.00671092327208895,0.330943749189755
200,0.016701472662364,NaN
350,0.0156759302844068,10.0362179057101
550,0.00701841420456909,NaN
750,0.0705504522999682,8.79506910593077
1000,0.148944672231541,9.93038015404485
1500,0.322843422310132,9.68790235508621
2000,0.432940634060788,8.41966641786803
2500,0.473909738267734,9.37948677570293
3000,0.460457487053927,9.73590089351082
3500,NaN,8.58253691387674
4500,NaN,9.19954935502883
5000,NaN,8.18381232812174
6000,NaN,8.00550262493982
7500,NaN,7.3871909891632
8500,NaN,8.02351789687691
