timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.0111931566444695,1.24623108494896e-05,9.9542814919477
150,NaN,NaN,0.00220210271059972
300,9.10475857658445,NaN,0.00362692717445489
450,NaN,0.00215510987767397,NaN
500,NaN,NaN,0.00252840828733759
650,11.5195832020674,NaN,NaN
700,NaN,NaN,0.00304469507037839
850,NaN,0.00285410013324392,NaN
900,NaN,NaN,0.00230824769591167
950,9.54441246536591,NaN,NaN
1000,NaN,NaN,0.00294018396079538
1500,8.12486200675834,0.00270561772063142,0.0027927072374055
2000,12.0644220374682,0.00232156041683598,NaN
2500,8.16094150997398,0.00185019887308517,NaN
3000,9.8656594398673,0.00269580437907867,NaN
3500,8.44019542812755,0.00229929390417788,NaN
4000,6.23770983422981,NaN,NaN
4500,NaN,0.00130295213712888,NaN
5000,10.3351886807748,0.00158321881844591,NaN
5500,7.72621287599041,NaN,NaN
6000,NaN,0.00138593754287642,NaN
6500,6.49750902302825,NaN,NaN
7500,4.6988153965437,0.00205181191218729,NaN
8500,5.56283494087173,0.00174462759824476,NaN
