timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.00969740653552478,9.20148988566056,0.0011516405309576,10.2456983440839
100,NaN,9.69311102133032,NaN,NaN
150,0.0196367208798782,NaN,NaN,NaN
200,NaN,8.63143046417573,NaN,NaN
250,0.0264118074984661,NaN,NaN,NaN
300,NaN,7.76190632472542,NaN,NaN
400,0.0485858173246094,NaN,NaN,NaN
450,NaN,10.1016788291104,0.00591488718968698,11.4429661551566
550,0.0837478669899871,7.83419855374101,NaN,NaN
700,NaN,5.62130054914402,NaN,NaN
750,0.174316044882145,NaN,NaN,NaN
850,NaN,6.53074578137163,NaN,NaN
900,0.18120398456975,NaN,0.177836745740295,6.92771296278487
1000,0.363196131669112,3.12086581906536,NaN,NaN
1500,0.586615641729156,0.20917663790787,0.989645073293539,1.65126712243115
2000,0.69171442412211,0.0147689068995621,0.678134463287482,1.6398193235248
2500,0.888558750220774,NaN,0.46655749979121,1.4767500917819
3000,NaN,NaN,0.411843670313502,1.30192359582498
4000,NaN,NaN,0.29920535067279,0.718724256040572
5000,NaN,NaN,0.203468457216746,1.03401180231322
6000,NaN,NaN,0.124046610123388,0.791168998665027
7000,NaN,NaN,0.0900122763488509,0.685775184473164
8500,NaN,NaN,0.0629795410843496,0.765854386916602
