timepoint,Ind_Obs,Compound_1_Obs
0,-0.00839829666906981,10.6776549934836
450,0.0239373955277649,9.47875886270753
850,NaN,10.1335827682933
900,0.0080022115523191,NaN
1500,0.0478652800492847,10.1357723043776
2000,0.164169180166383,9.01529400381485
2500,0.431678239776886,7.7073982834763
3000,0.612521012655989,8.27352541920545
4000,0.693929800089724,6.21855538490065
4500,NaN,5.9402409580801
5000,0.577352248376042,NaN
6000,0.456171520878599,4.32310605218069
7000,0.367756021290044,3.73815033290043
8500,0.248034976661678,2.01747012612252
