timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0150823097521527,-0.0760498348386977,-0.0315623607249626
350,0.0299169439655348,NaN,NaN
400,NaN,0.0514479175279617,-0.0263761856292502
700,0.127373524788555,NaN,NaN
800,NaN,0.205885840523043,-0.0150684574208789
1000,0.0953245630547588,0.380153932197452,NaN
1500,0.428185197845636,0.860545956694142,0.210717075850068
2000,0.787802942104296,1.30650738584027,NaN
2500,1.07336548468699,1.35885531520641,0.881662090131244
3000,1.09198883632989,NaN,0.793686348953226
3500,NaN,0.97586190276045,0.525909328987169
4000,1.08631319345157,0.840129929938296,NaN
4500,1.08938542801766,NaN,0.242304285832568
5000,NaN,0.509097274924014,NaN
5500,NaN,NaN,0.163111385636404
6000,1.09174634506668,0.366540690237242,NaN
7000,1.10787959328601,0.317557244728095,0.0490400791040456
8500,1.14156272880245,0.146036104819642,NaN
