timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0376429384348372,9.7948038598896,-0.0666002235684824
350,NaN,10.3782853364876,NaN
400,0.0163725574142311,NaN,0.0118787165267146
750,NaN,10.742584979401,NaN
800,0.0615615498252747,NaN,NaN
850,NaN,NaN,0.0702967711592336
1000,0.144398572566728,9.72318390627076,NaN
1500,0.101390721198749,10.1530694639032,0.272317136994315
2000,0.376037875975626,9.54726096017802,0.774616259998986
2500,0.825848079612018,8.07557521001647,1.16281933842094
3000,1.14137192250558,5.99441468619364,1.37395657275727
3500,1.37801515678978,NaN,1.46285131522531
4000,NaN,3.41999465199861,NaN
4500,1.49170535226482,NaN,1.16934812789625
5000,1.35229422725368,0.829749928396272,NaN
5500,NaN,NaN,0.817642450591084
6000,1.29264633840943,0.655967456975583,NaN
6500,NaN,NaN,0.562709391322139
7000,NaN,0.76509109478676,NaN
7500,1.45838326599649,NaN,0.51710195912505
8500,1.46905554395787,-0.139213466580425,NaN
