timepoint,Bac_Obs,cGlu_Obs
0,0.0419124246500686,0.163448470214209
150,0.0636297461419787,NaN
350,0.0441813415913007,NaN
400,NaN,2.61436428981232
500,0.167628203419568,NaN
700,0.220342623633909,NaN
850,NaN,6.47552281333782
950,0.459931912199487,NaN
1000,0.492653396932311,NaN
1500,0.648956487023098,5.66054901899844
2000,0.657296472407673,4.45587129427882
2500,0.599912929101011,3.65366005263211
3000,NaN,3.45580355712164
3500,NaN,2.34953059816745
4500,NaN,1.86093318582465
5500,NaN,1.24465272580332
7000,NaN,1.06680841363578
8500,NaN,1.28890921908299
