timepoint,Glu_Obs,Ind_Obs
0,11.2371249223111,0.011778585779654
450,9.93469111481736,0.0236398590120975
900,9.82605153152645,-0.00177586689003556
1500,9.47409680824074,0.0555600532190471
2000,9.34506919202855,0.0846107674705375
2500,8.01475500272362,0.200415065619847
3000,8.14641850327928,0.254547535961097
4000,5.10438663564746,0.297972749014592
4500,NaN,0.240767692332485
5000,4.20040123208159,NaN
5500,NaN,0.150366364512814
6000,4.16825744433359,NaN
7000,2.64842607059496,0.118844425095677
8000,NaN,0.0540193848282914
8500,0.775944536658747,NaN
