timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,5.3759618601608,0.000875491137877626,0.00263277625789555
100,5.62102695936703,NaN,NaN
250,11.0295028530701,NaN,NaN
400,3.13093806935964,0.374349367800146,0.0133054063708032
500,7.10767728731378,NaN,NaN
650,27.1418514849309,NaN,NaN
850,27.9461885374739,1.03470993272049,0.114414138614934
1000,8.10765921832002,NaN,NaN
1500,31.4589355053098,17.1389828704103,0.0420388397384552
2000,0.156684836753497,12.6428692216978,0.785897076180956
2500,0.0015666504460892,10.5785531160721,0.190675463810995
3000,NaN,10.4491816254477,0.433151406824303
3500,NaN,0.382538452175335,0.213128111982526
4500,NaN,55.3942583123417,0.236501858391034
5500,NaN,0.255739480728622,0.0910919413355442
6500,NaN,1.45030385870875,0.0957285487937898
8000,NaN,0.711762833881286,0.53392914705292
