timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,8.21809976147251,9.71451683833587,1.67534828889779,9.6257469667729
400,12.2972449994252,8.98872467347265,-0.238391782627827,10.075404558762
800,10.6123604048885,NaN,NaN,NaN
850,NaN,7.73255642290532,3.53802353173655,10.9286249302881
1000,12.2920672150225,NaN,NaN,NaN
1500,9.41805025641834,3.84001314943902,6.10145116468164,10.293188573579
2000,8.08108087848478,2.37465008710335,8.02032658112154,10.60227504997
2500,7.67104549866208,0.951641994829872,7.31938613988561,9.63041530325031
3000,NaN,1.23338361523748,9.65671157505809,7.19644984563346
3500,3.98179071917805,2.07960292036254,8.50782626009992,NaN
4000,5.82518644370082,NaN,NaN,9.83352257131678
4500,NaN,1.01887774874823,5.85889642714708,4.33085608484618
5000,5.55021751369177,NaN,NaN,NaN
5500,NaN,0.720758427119034,6.05419389586643,5.14099732667486
6000,5.68183570926556,NaN,NaN,NaN
7000,3.25986377733625,0.781034324928791,3.09846936866219,4.61234182971261
8500,3.46578980809488,0.942404393168721,3.60980498937857,4.3867277382964
