timepoint,Glu_Obs,Compound_1_Obs
0,10.1799768435262,9.88687149981233
450,9.54968844872352,NaN
500,NaN,11.9679951186577
900,8.41900056437025,NaN
950,NaN,10.8638630782833
1500,8.0872934426355,9.39221482248894
2000,6.46157439955224,7.97202912906753
2500,5.25244256039115,6.97538538642278
3000,3.85205260643293,NaN
3500,NaN,4.75014220375294
4000,2.23451192433345,NaN
4500,NaN,3.33405827297057
5000,1.25179434827462,NaN
5500,NaN,2.40290833681394
6000,0.666470391884768,NaN
7000,0.410692254042724,1.20933077559806
8500,0.181771262007855,0.979854950935927
