timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.082800449597344,-0.234734224585066,9.87644736110448
150,-0.0368662011294829,NaN,NaN
300,0.101580333190718,1.00586789408569,NaN
450,NaN,NaN,9.8029024560775
500,0.288588044079119,NaN,NaN
600,NaN,3.01264764997286,NaN
650,0.509462258123994,NaN,NaN
850,0.640644034225305,NaN,NaN
900,NaN,NaN,10.2208371099207
950,NaN,6.29995268417513,NaN
1000,0.889972411581379,NaN,NaN
1500,1.15899073195734,6.22404214922748,8.81269247447146
2000,1.30415523997362,4.68866072782705,7.43090478274344
2500,1.25936865980584,4.18303942023255,5.65690818660405
3000,1.28282916970163,3.31234795788884,4.12744580385546
4000,NaN,2.688080233594,3.96936326045784
4500,NaN,2.13000285762952,3.15279611825772
5500,NaN,1.79452495468339,NaN
6000,NaN,NaN,3.50490262722485
6500,NaN,1.38367645283442,NaN
7000,NaN,NaN,3.03091939016329
8500,NaN,NaN,3.05710185108991
