timepoint,Bac_Obs,Ind_Obs
0,0.0242199428051826,-0.00637188921591086
85,0.0193295704752922,NaN
200,0.0816885720897723,NaN
250,0.0853624904612893,NaN
350,0.157681781496768,NaN
400,NaN,0.0128908100451961
450,0.227996860530175,NaN
600,0.32108223468336,NaN
700,0.356169488275076,NaN
750,NaN,0.134084508980882
850,0.40428433720039,NaN
1000,0.425738263979238,0.323738618695915
1500,0.400474694279938,0.641634504960998
2000,NaN,0.67599118082996
2500,NaN,0.608953792533777
3500,NaN,0.421666321303795
4000,NaN,0.358103005433386
5000,NaN,0.246906709738736
6000,NaN,0.182452440653649
7500,NaN,0.113344041449436
