timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.029577260268223,9.8623202250603,0.926521827679624,8.68005803195375e-05
40,NaN,0.00269699324975071,NaN,NaN
80,NaN,0.0546698377638437,NaN,NaN
150,NaN,-0.0504169340242938,NaN,NaN
200,0.0505316001627709,-0.0598043781829988,NaN,NaN
250,NaN,0.0318755762428015,NaN,NaN
300,NaN,0.0212695160291072,9.70458276997632,NaN
350,NaN,0.0403722342427872,NaN,NaN
400,0.0542910237577909,NaN,NaN,NaN
450,NaN,-0.0027693085674218,NaN,NaN
500,NaN,NaN,NaN,0.00356863119059109
550,0.0577991015888185,NaN,NaN,NaN
600,NaN,NaN,10.257448411245,NaN
800,0.104070099784653,NaN,NaN,NaN
900,NaN,NaN,9.10711548538628,NaN
1000,0.184291493770953,NaN,10.0748438614467,0.00333263023844626
1500,0.366054227548,NaN,9.73439556296371,0.00315602850711983
2000,0.404388846641982,NaN,8.33405528579608,0.00300750018736098
2500,0.440916942965331,NaN,7.89494669778929,NaN
3000,0.424151748528392,NaN,7.65553419877213,0.00259561211427368
3500,0.442716666606386,NaN,7.98467281252142,0.00218572688505439
4000,NaN,NaN,8.01931617015816,NaN
4500,NaN,NaN,7.40191810999772,0.00216559046716934
5500,NaN,NaN,6.93069047703148,0.00195578257537422
6500,NaN,NaN,7.51203283146567,NaN
7000,NaN,NaN,NaN,0.00142301374489283
7500,NaN,NaN,6.79016070213289,NaN
8500,NaN,NaN,NaN,0.00147605807895494
