t,STAT5A_Obs,STAT5B_Obs,pApB_Obs,nucpApA_Obs,nucpApB_Obs
0,256.047285475863,56.1412039959429,0.0314532562717757,1.82089817927003,0
15,NaN,NaN,21.9028544786052,240.989395634024,NaN
20,19.8915810402157,NaN,NaN,NaN,NaN
25,NaN,18.5108590110268,26.5705453086511,NaN,19.3056753121319
30,NaN,NaN,NaN,184.203252867043,NaN
40,33.5113560691161,NaN,18.9944452115189,NaN,NaN
45,NaN,NaN,NaN,NaN,114.918911234701
50,NaN,20.8265837076088,NaN,188.396372311804,NaN
55,NaN,NaN,15.7019730305165,NaN,NaN
60,24.1810291965953,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,209.790742620757,NaN
70,NaN,3.12898480735093,8.32262101475912,NaN,82.8285992759303
80,67.7090268110471,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,149.052983657452,NaN
90,NaN,NaN,4.85594972323471,NaN,NaN
95,NaN,NaN,NaN,NaN,100.925679690087
100,32.1827407256596,7.11767886409307,3.88546502205188,50.9321076966551,55.6536882226751
150,47.1230599955301,5.40752125225516,3.751187082351,59.9858568736439,62.3682470826977
200,35.5087180602274,21.7499193983181,0.770521883530989,143.613247264232,58.073159227193
250,128.506532227498,14.6186853652602,2.05562410371059,52.6073571312024,347.538291940509
300,48.3970977684891,51.8852106769435,0.761976608892262,57.3326128868133,124.183560634935
350,NaN,NaN,NaN,70.8063583639971,175.386845881482
400,79.8010986889542,12.6620311801625,NaN,NaN,118.571205128517
450,106.855337847698,24.0724946298201,NaN,NaN,NaN
500,122.633949935344,NaN,NaN,NaN,212.298234924161
550,NaN,24.5346324472164,NaN,NaN,NaN
650,NaN,23.8267216979314,NaN,NaN,NaN
