t,STAT5A_Obs,STAT5B_Obs,pApA_Obs,pBpB_Obs,nucpApB_Obs,nucpBpB_Obs
0,136.392304938404,63.5527967405856,9.54231780738645e-08,1.24797527113274e-08,-0.311855327837116,-0.176303684356581
8.5,NaN,NaN,NaN,3.30511755775033e-06,NaN,NaN
10,17.5126786636056,NaN,7.27828422025081e-06,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,41.2801178264788
20,NaN,8.18979313380891,NaN,8.87552057661633e-07,13.785155752522,NaN
25,9.30143714851412,NaN,2.55989708983571e-06,NaN,NaN,NaN
30,NaN,NaN,NaN,5.09807964325177e-07,NaN,39.9831012979278
35,21.4975002295115,7.55067065827024,NaN,NaN,NaN,NaN
40,NaN,NaN,1.9968080482354e-06,2.85378550996761e-07,NaN,NaN
45,20.003851439211,NaN,NaN,NaN,37.5079264522821,36.4026881669225
55,NaN,8.19204433233985,1.50616095432813e-06,1.72229448816745e-07,NaN,NaN
60,19.175993702487,NaN,NaN,NaN,NaN,36.8185369307654
65,NaN,NaN,NaN,NaN,70.3941406062526,NaN
70,NaN,NaN,NaN,1.68208423985324e-07,NaN,NaN
75,25.7849060747414,11.6068516723259,NaN,NaN,NaN,NaN
80,NaN,NaN,6.3873081464859e-07,NaN,NaN,29.5986985285024
85,NaN,NaN,NaN,2.6319848052898e-08,NaN,NaN
90,42.9209054438336,NaN,NaN,NaN,68.701509146393,NaN
100,45.4720183410324,13.1173070171549,4.84757922532157e-07,NaN,74.6192091782542,26.1947701078948
150,59.9858139367604,15.0972348038501,NaN,NaN,85.3328647294661,21.3812602615364
200,70.4997097174383,19.817377274519,NaN,NaN,97.9789949996974,15.3170832797101
250,85.1121325584599,24.1011232682485,NaN,NaN,98.2654808440662,13.1473918551532
300,92.7293304319116,26.1592378802674,NaN,NaN,NaN,3.19945227886384
350,NaN,28.0387285089029,NaN,NaN,106.527067390689,NaN
400,NaN,NaN,NaN,NaN,103.245642572435,NaN
450,NaN,31.8471223255057,NaN,NaN,108.194987173348,NaN
