t,STAT5B_Obs,pBpB_Obs,nucpApB_Obs
0,66.3358585537148,1.49456871685866e-07,-25.271529079718
15,NaN,1.38211657947264e-06,NaN
20,5.45797727378543,NaN,39.4324038206844
35,NaN,8.48728643006299e-07,NaN
40,6.69209281834303,NaN,NaN
45,NaN,NaN,22.3133832454832
50,NaN,4.3096747743626e-07,NaN
60,6.58971065875102,NaN,NaN
70,NaN,NaN,72.303251736926
75,NaN,5.38757757217216e-07,NaN
85,2.61017969281076,NaN,NaN
95,NaN,2.79525949383547e-07,113.973311564916
100,10.6337453782462,4.26734178667151e-07,100.953330202626
150,9.03753278286258,4.29885028463159e-07,86.9311682142728
200,8.46077058007952,NaN,104.023778325149
250,9.30641768181563,NaN,129.275323250004
300,16.0834524268575,NaN,141.782923315636
350,19.7454966304568,NaN,131.323921527263
400,15.5224351314929,NaN,NaN
450,18.0178766070755,NaN,135.848972245581
550,17.213329545407,NaN,NaN
