t,IR_Obs,IRp_Obs,IRiP_Obs,IRSiP_Obs,XX_Obs
0,9.9633255860439,-9.34925458408638e-08,1.65331880162708e-05,0.18442252470908,9.35011777345562
1,NaN,2.11399290811026e-07,NaN,2.35148610445996,NaN
1.5,9.20099542241357,NaN,NaN,NaN,NaN
2,NaN,NaN,0.000202317684096861,NaN,10.0114350854648
2.5,NaN,4.27865184420079e-07,NaN,2.34056166929038,NaN
3,7.17985030697295,NaN,NaN,NaN,NaN
3.5,NaN,5.81496184897476e-07,NaN,2.23148762641039,NaN
4,NaN,NaN,0.000190022059698499,NaN,9.36255919051313
4.5,4.36139748010883,NaN,NaN,NaN,NaN
5,NaN,1.50689944936667e-06,NaN,2.96070719559803,NaN
6,NaN,NaN,0.000350622611111749,NaN,9.5083372423664
6.5,2.04808626822801,1.51950286248634e-06,NaN,3.38422833106941,NaN
8,NaN,NaN,NaN,3.12234028134396,10.5540622391043
8.5,1.77492315576829,1.36459141255847e-06,0.000248752132673012,NaN,NaN
10,1.2599281767323,1.29595950284829e-06,0.000223970292252945,2.43305764890572,9.37135254889907
15,1.34059160750085,8.91034847443746e-07,0.000196499657890566,2.01483860206954,9.7801369249765
20,0.772656286274799,7.7241210760994e-07,0.00016065050601001,1.81211380414965,10.8164136185965
