t,b10_Obs,bcar_Obs
0,-0.0924798381882192,3.13208370050769
20,0.816776948885165,2.29572124143719
45,1.12134849946024,1.69044040757934
65,NaN,1.54638066914758
70,1.47689182081479,NaN
90,NaN,0.870985484850119
95,1.7384546592227,NaN
100,1.82896765298344,1.18667030641804
150,1.76756342361119,0.128205086626623
200,1.35672548405501,0.264695303585384
250,1.35283220626956,0.094203494378698
300,0.839289336345514,-0.266460725605015
350,0.565363251424706,0.161858533847288
450,0.609943903073929,-0.00391567539731125
