t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Pathogen_Obs,Compound_1_Obs
0,9051.06996991156,0,0,0.831088369168967,8799.01047107084
1.5,NaN,NaN,NaN,NaN,2784.57746183234
2,1884.58968445768,123.774516027155,NaN,1.7312875262885,NaN
2.5,NaN,NaN,53.2845216564877,NaN,NaN
3,NaN,NaN,NaN,NaN,1238.91746372858
3.5,NaN,NaN,NaN,1.47358002831817,NaN
4,NaN,613.076157172218,NaN,NaN,NaN
4.5,325.896580097665,NaN,NaN,NaN,1344.56823786115
5.5,NaN,NaN,666.403088676819,3.59309250044883,NaN
6,NaN,9442.37986016769,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,18093.1491326512
7,50.8270642726257,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,4.60946445565547,NaN
8.5,NaN,71958.4227415558,37036.8101341423,NaN,68456.9987449763
10,10.6296497159643,27314.1855774673,28903.005287908,0.59639220162069,22536.3682516888
15,9.30507851493186,2519.09381425782,11938.223960541,0.0179806728432041,2533.45775056085
20,8.97139823393768,467.044360881453,3846.99605086507,0.00777527925207889,NaN
25,NaN,125.785951243403,3878.37127415703,NaN,NaN
30,NaN,NaN,3458.86601867766,NaN,NaN
35,NaN,NaN,2162.39342692375,NaN,NaN
40,NaN,NaN,2237.85199703981,NaN,NaN
50,NaN,NaN,1039.52655390712,NaN,NaN
