t,Z_mRNA_Obs,GFP_mRNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,340.599244945401,7.57643401299463e-06,590.159565935674,1962.01711087751,1327.7271375968
6,NaN,5.41002095853433e-21,NaN,NaN,NaN
10,NaN,2.56964948357429e-23,NaN,NaN,NaN
20,0.190624630805263,NaN,5870.74061658996,NaN,3594.45742872349
25,NaN,1.01313442773953e-32,NaN,10725.0558425775,NaN
35,NaN,2.91049970170012e-38,NaN,NaN,NaN
40,0.232796853602072,NaN,NaN,NaN,NaN
45,NaN,2.63895513522874e-40,3095.42352020133,NaN,1752.04470342602
50,NaN,NaN,NaN,4679.84237948203,NaN
55,NaN,5.69976703874053e-44,NaN,NaN,NaN
60,0.392142047982464,NaN,NaN,NaN,NaN
70,NaN,1.11824469587434e-48,1396.50683981631,NaN,862.468363846352
80,0.567664413090108,NaN,NaN,2544.76852476678,NaN
95,NaN,NaN,NaN,NaN,563.774111884538
100,1.07555301084615,NaN,1634.8010298599,1784.64701608701,NaN
150,7.96835258115045,NaN,2610.70107001231,1569.16627870983,1042.9553654124
200,2.67171451739679,NaN,2137.85352590376,2523.73082444933,1679.8158259106
250,0.625077952858289,NaN,1295.12050163157,2470.7448599433,676.187582428594
300,4.44617355851066,NaN,3111.37772533132,1179.46264313756,616.670303457223
350,NaN,NaN,NaN,2889.21981015466,2274.26868908301
400,NaN,NaN,1261.41541875959,3088.48077766853,NaN
