t,X_protein_Obs,Y_protein_Obs,Z_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,1.66912563094287,626.156334191725,2.28478154058036e-05,0.113404122293279,268.42715389375,671.587379424341,507.616365149676,1.96720304821203e-05
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02030721250085e-08
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.95178857520536e-09
20,NaN,NaN,NaN,NaN,NaN,0.183895116439864,NaN,1.04735516423025e-08
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.09484725920716e-08
30,NaN,9202.09995417988,NaN,NaN,NaN,NaN,0.101861025687207,NaN
35,2681.11705025319,NaN,NaN,NaN,0.0851683656145462,NaN,NaN,1.19089706288371e-08
45,NaN,NaN,NaN,NaN,NaN,0.196077477979648,NaN,9.2070835515904e-09
55,NaN,3055.45627023246,2272.40716278621,NaN,NaN,NaN,0.0858207341796188,1.11580204851273e-08
60,NaN,NaN,NaN,3.32028426043714,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,0.236199457731884,NaN,NaN
70,783.666863383171,NaN,NaN,NaN,0.121967243020038,NaN,NaN,1.03617399261447e-08
85,NaN,926.314226605391,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.136548723375946,NaN
95,NaN,NaN,NaN,NaN,NaN,0.600252722966823,NaN,NaN
100,407.800913416738,800.847086954062,448.371280876127,9.02642287333829,0.361333502885737,0.541641548316902,NaN,NaN
150,669.816730313244,389.129944174996,341.396184470058,NaN,0.470520456880349,0.319853446496079,0.655539008604141,NaN
200,395.237235070982,496.057397846802,NaN,13.6378736679008,0.333739503471568,0.767782290621724,0.331438555475242,NaN
250,490.087364661069,473.147514407981,383.378402641878,14.6029658897371,0.537466297828747,0.390492308254989,NaN,NaN
300,473.958341925327,396.435378083338,556.024819160351,14.8319016536366,NaN,NaN,0.454311851999426,NaN
350,NaN,465.499940486112,NaN,NaN,0.41871892774588,NaN,NaN,NaN
400,405.13229310987,NaN,477.026547607483,15.8819352024013,NaN,NaN,NaN,NaN
450,444.588193220997,493.805877760587,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,404.299342360886,13.4719322366866,NaN,NaN,NaN,NaN
600,NaN,NaN,429.990102032071,15.0833166230409,NaN,NaN,NaN,NaN
700,NaN,NaN,393.210977195307,13.407114375439,NaN,NaN,NaN,NaN
850,NaN,NaN,466.922521460304,14.1049745215889,NaN,NaN,NaN,NaN
1000,NaN,NaN,405.882641789501,15.0749135944097,NaN,NaN,NaN,NaN
