t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,1891.06129255734,3439.72978490643,6410.34079205487,1257.49848011792,3789.3381440909,3396.78632285365,2110.45217392376
30,34368.7098594786,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,20830.1812524929,NaN,25110.3870060881,25930.2308374463,20957.9279133491,NaN
40,NaN,NaN,21408.5806942962,NaN,NaN,NaN,5728.96701730053
65,17681.3547680478,NaN,NaN,NaN,20208.7315057459,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,10537.2345111803,NaN
75,NaN,10977.5062834036,10598.0456117897,13807.9452835061,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,1568.33653579015
100,8506.27581323281,5630.47393697232,9377.32988651662,11984.4911862143,5092.03750709711,5036.19990290524,4431.54999319048
150,4302.853839969,4803.78588495205,3043.86375560925,7805.7208946067,2932.87788497615,1720.86209242039,1325.5448364572
200,3185.00190874092,2188.4565915653,1733.46281147666,4656.20017586413,2557.97645097242,1555.97625558397,NaN
250,3492.89317972993,2504.24130037009,1448.56113969965,2172.7687785962,2324.86947856904,991.488855115782,485.391685979717
300,2277.5032125489,3298.00634444493,NaN,NaN,NaN,519.667024182324,322.324266130857
350,1663.92335057155,NaN,753.494293235623,1310.20232390992,1864.53041936624,NaN,837.725718393142
400,2462.73228045567,986.117191540024,2242.27596236397,1369.27729552776,1378.86788573925,811.946142330036,NaN
450,NaN,NaN,NaN,NaN,3028.17922679428,1144.69794637443,1626.56071272089
500,1682.45571793754,2807.44402910259,2258.69584384314,1773.79183479392,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,1595.45061631673,1079.0237976502,692.656011552614
600,NaN,1225.71407600157,1497.61978485811,1352.36971737564,NaN,NaN,NaN
