t,RAF_Obs,pRAF_Obs,Compound_1_Obs,Compound_2_Obs
0,1.14357705658638,1.14249592400503e-05,1.63028535278573,2.6078396389391
0.2,NaN,5.37382955589039e-05,NaN,2.05254442659469
0.25,0.823937416495782,NaN,2.16955955598287,NaN
0.35,NaN,5.12013741783861e-05,NaN,NaN
0.4,NaN,NaN,NaN,1.99450744055627
0.5,1.1434839519607,NaN,NaN,NaN
0.55,NaN,3.59692678178864e-05,1.74550434067849,NaN
0.6,NaN,NaN,NaN,2.05214627682428
0.75,0.744103955417584,3.38729547913067e-05,NaN,NaN
0.85,NaN,NaN,2.00577385002148,2.14975840139411
1,0.98118328888125,2.7604439141581e-05,2.50115952717806,1.56009312399996
1.5,1.26259456177612,2.10347449491496e-05,1.69592874287906,1.82224570410565
2,0.923076024330702,1.52900574116575e-05,2.3352481517356,2.09067947605079
2.5,0.956472671159711,1.56534390586353e-05,1.98433825631514,2.28932175131678
3,0.794870991778093,4.62542761413268e-06,2.11534160738209,1.71722714799617
3.5,0.931414738053033,1.26216180813708e-05,1.57593868063249,NaN
4.5,NaN,NaN,1.79210153302201,NaN
