t,MEK_Obs,pMEK_Obs,ERK_Obs
0,1.05190533987852,0.000980431072831043,0.555790657081585
0.55,0.825057752234273,NaN,NaN
1,1.12401501498083,NaN,NaN
1.5,0.939114590075929,NaN,NaN
2,NaN,NaN,0.817732284738667
2.5,1.05420618583912,NaN,NaN
3,0.853612823105408,NaN,NaN
4,1.13091960950488,0.00106550869742932,0.773045481403855
5,1.12446073543546,NaN,NaN
6,1.1693171445186,NaN,NaN
6.5,NaN,NaN,1.01806160444976
7.5,0.992338789999517,NaN,NaN
8,NaN,0.00111864323648787,NaN
9,0.85518259950122,NaN,1.2724166802852
10,NaN,NaN,1.02120649684977
15,NaN,0.000813948721065543,0.868185815291689
20,NaN,0.0012900246799754,0.944573046726148
25,NaN,NaN,0.859460696836569
