t,Compound_1_Obs,Compound_2_Obs
0,1.87294776682122,2.73853811590868
0.4,2.11304382285169,NaN
0.85,1.78299811387046,4.75893292552692
1.5,4.41395598072494,3.15362999324789
2,2.88432509314668,NaN
2.5,2.60658354206261,2.52456887307473
3,1.84854624646543,NaN
3.5,4.03478137448916,3.39107780285113
4.5,2.56880942470005,NaN
5,NaN,2.76325571751645
5.5,3.75108189359262,NaN
6,NaN,3.11235336033647
6.5,1.22811485842717,NaN
7.5,NaN,1.74205767064282
9.5,NaN,3.24465043391906
10,NaN,3.24397678272225
15,NaN,2.21271265669544
