t,pMEK_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000427457736767998,2.34343098921507,1.82129281838278
0.45,NaN,NaN,1.97770080585187
0.95,NaN,NaN,1.94574710726989
1.5,NaN,NaN,2.10754889563399
2,NaN,NaN,1.61663956312443
2.5,NaN,NaN,1.53888870034814
3.5,NaN,NaN,2.33546810038752
4,NaN,2.53374152384348,2.6706037926936
4.5,0.000538471896751762,NaN,NaN
5,NaN,NaN,1.27992109586727
6,NaN,NaN,1.67144417938432
7.5,NaN,NaN,2.13801395180973
8.5,NaN,2.1708793745196,1.79526489659989
9.5,0.000387036961636079,NaN,NaN
15,0.000451098852970118,1.98411260176331,NaN
20,0.000414449903720105,1.61341588747124,NaN
