t,pEGFR_Obs,pAkt_S6_Obs,pS6_Obs
0,99822.697407112,-0.0001495261328553,1.30977795196912e-06
45,15194704.6483786,NaN,NaN
90,12737609.1940851,NaN,NaN
150,5467196.63905688,NaN,NaN
200,2028187.39490015,NaN,NaN
250,1016443.25016058,NaN,NaN
300,894688.04043949,NaN,NaN
400,252529.880171004,NaN,1.62954751329489e-05
450,-146143.518753477,NaN,NaN
500,NaN,0.0116810086047509,NaN
550,-117885.351583468,NaN,NaN
700,185084.12968295,NaN,NaN
800,NaN,NaN,3.01909946850994e-05
1000,NaN,0.00995557557068096,3.50226137830373e-05
1500,NaN,0.00843588527474504,3.81064936173109e-05
2000,NaN,0.00771723278698502,3.49173247612649e-05
2500,NaN,NaN,3.15497242655889e-05
3000,NaN,0.00635623024822192,NaN
3500,NaN,0.0052580501978135,2.70364310740462e-05
4000,NaN,NaN,1.97643171561543e-05
4500,NaN,0.00359462596792282,NaN
5000,NaN,NaN,1.38783274052878e-05
6000,NaN,0.00201830727400173,1.4595153076237e-05
7000,NaN,0.00211579054767229,1.30118468277164e-05
8500,NaN,0.00172173830038164,1.19181596985526e-05
