t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,51058810.2919137,8.35836309494505e-05,0.00100918592234396,0.000264976087534597,383208.735358857
55,37045101.2624678,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,11332074.299633
95,NaN,0.00104440134654455,NaN,NaN,NaN
100,22491313.1508077,NaN,NaN,NaN,NaN
150,19618905.6488344,NaN,NaN,NaN,10612332.611308
200,NaN,0.000493777471625255,0.0227714272886551,NaN,8523051.94329652
250,8110020.93163383,NaN,NaN,NaN,5553104.57467597
300,-3904898.36286381,0.000182487341497607,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,4017582.66989768
400,7095281.51295342,0.000216108917338878,NaN,NaN,NaN
450,NaN,NaN,0.0112024214078933,NaN,1836153.27604414
500,4946469.28214725,1.31418856897289e-05,NaN,0.00297232758412902,NaN
550,NaN,NaN,NaN,NaN,1228033.1504288
600,-3105802.67190582,NaN,NaN,NaN,NaN
650,NaN,-8.0326375569211e-05,NaN,NaN,428856.20066737
700,NaN,NaN,0.00398767463200786,NaN,NaN
800,NaN,1.16738080506819e-05,NaN,NaN,-2403067.92027806
950,NaN,NaN,NaN,NaN,288844.078033479
1000,NaN,-0.000115504023676516,-0.00207126964317455,0.00251309969854678,-17207.6591844895
1500,NaN,-0.000160043179522485,0.000517368029943606,0.00302410930531882,NaN
2000,NaN,NaN,0.000485471653838829,0.00269401862611239,NaN
2500,NaN,NaN,-0.00354930072182,NaN,NaN
3000,NaN,NaN,NaN,0.000514878102052539,NaN
3500,NaN,NaN,NaN,0.000894001011897454,NaN
4500,NaN,NaN,NaN,0.000387721983543262,NaN
6000,NaN,NaN,NaN,7.35698522424922e-05,NaN
7000,NaN,NaN,NaN,0.00082711235294992,NaN
8500,NaN,NaN,NaN,0.000385539588577592,NaN
